,Abstract
47,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
48,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative
49,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells root hair cells under high CO2 (800ppm)
50,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high CO2 (800ppm)
51,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high CO2 (800ppm)
52,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high temperature (35C)
53,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high temperature (35C)
54,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C)
55,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C)
56,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C)
57,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
58,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
59,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
60,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Nitrogen deprivation
61,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Nitrogen deprivation
62,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Phosphorous deprivation
63,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Phosphorous deprivation
64,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Phosphorous deprivation
65,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Potassium deprivation
66,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Potassium deprivation
67,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Potassium deprivation
68,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Iron deprivation
69,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Iron deprivation
70,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high salinity (60mM Nacl)
71,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high salinity (60mM Nacl)
72,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high salinity (60mM Nacl)
73,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under drought stress
74,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under drought stress
75,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under drought stress
76,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high pH (9.1)
77,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high pH (9.1)
78,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low pH (4.1)
79,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low pH (4.1)
80,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low pH (4.1)
81,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
82,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
83,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
84,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high temperature (35C)
85,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high temperature (35C)
86,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C)
87,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Iron deprivation
88,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high pH (9.1)
89,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control
90,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C)
91,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Nitrogen deprivation
92,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under Potassium deprivation
93,GmMEKK1 silencing was performed in Glycine max (Williams 82) using virus-induced gene silencing (VIGS) mediated by Bean pod mottle virus (BPMV). Rna-Seq was performed to compare the transcriptional profile of GmMEKK1-silenced plants to vector control plants.
94,This study presented the RNA-seq samples of P. sojae infection soybean.
95,Comparative Transcriptome Analysis of Soybean Response to Bean Pyralid Larvae
96,A transcriptome analysis of soybean seeds harvested at different developing stages (between stage 7.1 and stage 9) was carried out to understand the molecular events occuring during the acquisition of seed longevity during maturation. Overall design: RNAseq from developing Glycine max seeds from stage 7.1 (mid-seedfilling) to final maturation
97,A parastic cluster of soybean and dodder was cultivated. Whether there is herbivory-induced systemic signaling from Cuscuta to the host plants were studied.
98,"WRKY transcriptional factors play important roles in response to various abiotic stresses. In this study, we demonstrate that inserting a copy of soybean WRKY54 driven by a constitutive promoter of CMP (cestrum yellow leaf curling virus) or a drought induced promoter of RD29a, improves drought tolerance in transgenic soybean plants. GmWRKY54 is a transcriptional activator and regulates expressions of large numbers of stress-related genes. Using a GO enrichment toolkit, we found that GmWRKY54 up-regulated GO terms related to transcriptional regulator and gene expression and down-regulated GO terms related to photosynthesis and membrane. Using a co-expression network analysis, we find that dozens of genes are negatively co-expressing with photosynthetic genes. These genes are related to ABA signaling pathway, Ca2+ signaling pathway and transcriptional factors. Transgenic plants confer drought tolerance through improving stomatal closure, reducing transpiration rate and reducing membrane damage during water deficit. GmWRKY54 activates expression of these ABA or Ca2+ signaling-related genes, which finally regulates stomatal aperture. GmWRKY54 binds to the promoter regions of genes encoding an ABA receptor (PYL8-1), two calcium dependent protein kinase (CPK3-1 and CPK3-2), a CBL (Calcineurin B-like protein) interacting protein kinase (CIPK11-2), a SnRK family protein kinase and a ferritin, suggesting that they are the direct targets of GmWRKY54. Our study reveals that GmWRKY54 significantly improves drought tolerance in soybean and regulates expression of large numbers of drought-related genes, suggesting that GmWRKy54 maybe a master regulator of drought response. Overall design: Three transgenic soybean samples, A004A, A005B and B010C and the control plants (null) were chosen for RNA-seq. Both well-water samples and dehydrated samples were analyzed."
99,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Three compartments of the mid-maturation (B1) stage of the soybean seeds were analyzed. Three biological replicates were collected for each compartment."
100,"Flavonoids are an important class of plant specialized metabolites. They have various biological functions, including antioxidant action and interaction with other organisms.  For example, daidzein and genistein are required for symbiosis with rhizobia, and daidzein is a precursor of glyceollin. Previous studies showed that isoflavonoids were increased by the inoculation of fungi in soybean. However, transcriptomic and metabolomic change by fungal inoculation has not yet been investigated. In this study, we investigated the metabolic response of fungal-fermented soybean seedlings at the transcriptome and metabolome levels."
101,"Total RNAs were extracted from internodes and roots of 18 day-after-germination soybean plants, and the expression levels of the genes that encode xylem sap associated peptides or proteins were analyzed."
102,"Soybean (Glycine max L.; 2n=20) is one of the world's most important leguminous crops and a major source of proteins, oils, and other physiologically active substances. In Japan, soybean is a crop that has been eaten from ancient times, as a valuable source of fermented products such as miso, soy sauce, and natto, and non-fermented products such as tofu and soymilk. In order to facilitate improvement of Japanese soybean cultivars, a large-scale analysis of an elite soybean cultivar Enrei has been initiated. The genome project aims to (1) determine a draft genome sequence of cultivated Enrei using next-generation sequencing technology, (2) characterize the genome by comparative analysis with the completely sequenced soybean cultivar Williams 82, and (3) elucidate the genes involved in many agronomic traits that can be used for improvement of Japanese soybean cultivars."
103,Experimental design: 2 genotypes: Cultivar BRS184 and NIL(Rpp3) containing (Rpp3 resistance gene of FT2) 2 treatments: Soybean rust (Phakopsora pachyrhizi) and mock infection 3 replications 1 time point: 24 hours after inoculation TOTAL: 12 RNA sequencing. Sample: 2nd or 3rd true leaf. Stage: V2. Growth condition: growth chamber with fluorescent light. Day length: 14 light/10 dark. Sampling time: 6 hours after the beginning of light condition.
104,"nanT-iCAGE analysis of drought stress responsive genes and the TSSs in soybean from 6 samples from leaf, stem and root."
105,A. Experimental design: 1 genotype: Sachiyutaka. 2 treatments: thinning at R5 (plant population density was altered from 22.2 plants  to 5.56 plants per square meter) and control (plant population density was maintain at 5.56 from sowing to harvest). 2 replications 2 time point: 14 days after R5 and 28 days after R5. TOTAL: 8 RNA sequencing. Sample: main stem. Stage: R5 to R6. Growth condition: Field condition. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m. Day length: Field condition. Sampling time: 9 a.m. to 10 a.m.
106,"Chitin, an N-acetyl-D-glucosamine polymer, is a component of fungal cell walls and arthropod exoskeletons. This polymer can be used used as a fertilizer or soil amendment to enhance crop growth. However, the polymeric chitin is difficult to handle due to its insolubility in water. We recently developed chitin nanofiber (CNF), which has a highly uniform structure of 10-20 nm thickness and shows high dispersing ability in water. In this study, the transcriptome analysis by RNA-seq was conducted to elucidate global changes in gene expression in shoots and roots of CNF-treated soybeans (Glycine max)."
107,"Transcriptomic analysis of homo- and hetero-grafting in plants. Nicotiana benthamiana, Arabidopsis thaliana, Glycine max, Ipomoea nil and Zea mays were included."
108,"To clarify the Nod-factor independent nodulation signaling by the T3SS effector Bel2-5, RNA sequence analysis was performed using soybean En1282 (nfr1-mutant) roots inoculated with Bradyrhizobium elkanii USDA61 (wild-type) and bel2-5  mutant strains (deletion mutant of T3SS effector)."
109,RNA-seq analysis of soybean root transcriptomes with high (Conrad and AC Colombe) and low (AC Glengarry and Pagoda) isoflavonoid content
110,"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina)."
111,"GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean."
112,Establishment of the nitrogen-fixing nodulation symbiosis between legumes and rhizobia requires plant-wide reprogramming to allow infection and development of nodules. To identify gene expression changes that occur in response to nodulation or in response to nodulation signals we used an RNAseq based transcriptomics approach.
113,We used laser capture microdissection (LCM) to capture soybean seed compartments and profiled the transcriptomes of several compartments using next-generation sequencing.  We profiled the transcriptomes of the embryo-proper and the suspensor region from globular stage embryos and the seed coat parenchyma layer of early maturation stage seeds using the Illumina GAIIx system. Overall design: Illumina sequencing of transcripts from laser-captured embryo proper and suspensor of globular stage embryo and seed coat parenchyma layer of the early maturation stage seed.
114,"We report the genome-wide transcriptome of soybean seeds across several stages of seed development and the entire life cycle using Illumina high-throughput sequencing technology. Specifically, we profiled whole seeds containing globular-stage, heart-stage, cotyledon-stage, early maturation-stage, mid-maturation-stage, and late-maturation-stage embryos. We also profiled dry soybean seeds, and vegetative and reproductive tissues including leaves, roots, stems, seedlings, and floral buds. Overall design: IIllumina sequencing of transcripts from whole seeds at five stages of seed development (globular, heart, cotyledon, early-maturation, mid-maturation, late-maturation, dry), and vegetative (leaves, roots, stems, seedlings) and reproductive (floral buds) tissues."
115,"How epigenetics is involved in the transition from seed maturation to seed germination largely remains elusive. To uncover the possible role of epigenetics in gene expression during the transition from seed maturation to seed germination in soybean, the transcriptome of cotyledons from four stages of soybean seed maturation and germination, including mid-late maturation, late maturation, seed dormancy and seed germination, were profiled by Illumina sequencing. For the genes that are quantitatively regulated at the four stages, two antagonistic epigenetic marks, H3K4me3 and H3K27me3, together with the binding of RNA polymerase II, were investigated at the four stages by chromatin immunoprecipitation (ChIP). For 10 out of 16 genes examined, the relative enrichment of histone modification marks (H3K4me3 and H3K27me3) and RNA polymerase II binding on their promoter regions correlates well with their relative expression levels at four stages, suggesting the involvement of epigenetics in transcriptional regulation. A striking finding is that seed germination-specific genes start to show open chromatin (H3K4me3) during late seed maturation although their transcripts do not accumulate, which is further supported by RNA polymerase II binding. Together, our results provide the first evidence that seed germination genes can be primed for transcription (open chromatin and RNA polymerase II binding) during seed maturation, highlighting that the transition from seed maturation to seed germination starts at late seed maturation stages at both the genetic and epigenetic levels. Overall design: Illumina sequencing of transcripts from cotyledons of mid-maturation (B1 stage) and late maturation (AA1 stage) seeds, whole dry seeds, and cotyledons of seedlings six days after imbibition."
116,"Two high throughput transcript sequencing methods, Digital Gene Expression (DGE) Tag Profiling and RNA-Seq, were used to compare the transcriptional profiles in wild-type (cv. Clark standard, CS) and a mutant (cv. Clark glabrous, i.e., trichomeless or hairless, CG) soybean isoline that carries the dominant P1 allele. DGE data and RNA-Seq data were mapped to the cDNAs (Glyma models) predicted from the reference soybean genome, Williams 82. Extending the model length by 250 bp at both ends resulted in significantly more matches of authentic DGE tags indicating that many of the predicted gene models are prematurely truncated at the 5' and 3' UTRs. The genome-wide comparative study of the transcript profiles of the wild-type versus mutant line revealed a number of differentially expressed genes. One highly-expressed gene, Glyma04g35130, in wild-type soybean was of interest as it has high homology to the cotton gene GhRDL1 gene that has been identified as being involved in cotton fiber initiation and is a member of the BURP protein family. Sequence comparison of Glyma04g35130 among Williams 82 with our sequences derived from CS and CG isolines revealed various SNPs and indels including addition of one nucleotide C in the CG and insertion of ~60 bp in the third exon of CS that causes a frameshift mutation and premature truncation of peptides in both lines as compared to Williams 82. Overall design: 2 samples examined: Clark standard (wild type) and Clark glabrous (soybean hairless mutant)"
117,"Cytosine methylation is an important mechanism for dynamical regulation of gene expression and transposon mobility during plant developmental processes. Recently, the variation of DNA methylation has been described between wild type and DNA methylation-related mutants in Arabidopsis thaliana. However, the elaborate representation of soybean DNA methylomes remains lacking. Here, we described the epigenome maps of soybean root, stem, leaf, and cotyledon of developing seed at a single-base resolution. We confirmed the transcription start sites of genes using high-throughput sequencing and reported the DNA methylation patterns in gene and transposon regions. The correlation between gene expression and DNA methylation was revealed through transcriptome sequencing. We found CHH methylation may function in promotion of gene expression and ten cotyledon-preferred genes were identified CHH hypermethylated in cotyledon. Small RNA library sequencing showed that DNA methylation was enhanced by small RNAs not by strand-specific way, and the variation of DNA methylation between the organs was highly related with expression of small RNAs. Overall design: mRNA-Seq of roots, stems, leaves, and cotyledons of developing seeds"
118,"Seeds are comprised of three majors parts of distinct parental origin: the seed coat, embryo, and endosperm.  The maternally-derived seed coat is important for nurturing and protecting the seeds during development.  By contrast, the embryo and the endosperm are derived from a double fertilization event, where one sperm fertilizes the egg to form the diploid zygote and the other sperm fertilizes the central cell to form the triploid endosperm.  Each seed parts undergo distinct developmental programs during seed development.  What methylation changes occurring in the different seed parts, if any, remains unknown. To uncover the possible role of DNA methylation in different parts of the seed, we characterized the methylome of three major parts of an early maturation stage seed: seed coat, embryonic cotyledons, and embryonic axis using Illumina sequencing. Overall design: Illumina sequencing of bisulfite-converted genomic DNA, transcripts, and small RNAs from three parts of an early maturation stage seed: seed coat (EM-SC), embryonic cotyledons (EM-COT), and embryonic axis (EM-AX)."
119,The epigenomics approaches presented here provide the first comprehensive study of the patterns and heritability of methylation variants in a complex genetic population over multiple generations paving the way for understanding how methylation variants contribute to phenotypic variation. Overall design: MethylC-Seq and RNA-Seq data collected from Glycine max leaves of two parental lines of a RIL population and two individual RILs. Additionally gDNA-Seq was performed on the two parental lines [SRA060034].
120,"To understand the genetic mechanisms involved in the functional transition of cotyledons from non-photosynthetic storage tissue to metabolically active photosynthetic tissue during soybean seedling development, we constructed seven different RNA-Seq libraries using cotyledons from each developmental stage separately. Analysis of RNA-Seq data from different developmental stages revealed the differential expression of many genes including transcription factors. In this study, we focused on NAC and YABBY transcription factors which showed a conspicuous expression pattern during soybean seedling development. Their expression gradually increases from stage 1 to stage 4 of soybean germinating cotyledons. The highest level of expression was found at stage 4. Then it gradually decreased as the germinating cotyledons develop a mature seedling. We investigated the differential expression of NAC and YABBY regulated genes between stage 3 (before the functional transition) and stage 6 (after the functional transition) using our RNA-Seq data. Based on our RNA-Seq data, we found that 10 genes are up-regulated and 21 genes are down-regulated by NAC transcription factor. Similarly we found that 19 genes are up-regulated and 27 genes are down-regulated by YABBY transcription factor. Overall design: High-throughput sequencing using Illumina HiSeq 2000 (RNA-Seq) was performed on seven developmental stages of soybean seedlings, with two biological replicates per stage."
121,"To understand gene expression networks leading to functional properties and compositional traits of the soybean seed, we have undertaken a detailed examination of soybean seed development from a few days post-fertilization to the mature seed using Illumina high-throughput transcriptome sequencing (RNA-Seq). RNA was sequenced from seven different stages of seed development, yielding between 12 million and 78 million sequenced transcripts. These have been aligned to the 79,000 gene models predicted from the soybean genome recently sequenced by the Department of Energy Joint Genome Institute. Over one hundred gene models were identified with high expression exclusively in young seed stages, starting at just four days after fertilization. These were annotated as being related to many basic components and processes such as histones and proline-rich proteins. Genes involved with some storage proteins such as glycinin and beta-conglycinin had their highest expression levels at the stages of largest fresh weight, confirming previous knowledge that these storage products are being rapidly accumulated before the seed begins the desiccation process. Other gene models showed high expression in the dry, mature seeds, perhaps indicating the preparation of pathways needed later, in the early stages of imbibition. Many highly-expressed gene models at the dry seed stage are, as expected, annotated as hydrophilic proteins associated with low water conditions, such as late embryogenesis abundant (LEA) proteins and dehydrins, which help preserve the cellular structures and nutrients within the seed during desiccation. Hundreds of transcription factors with notable expression in at least one stage of seed development were also identified and examined. Results from a second biological replicate demonstrate high reproducibility of these data. Overall design: High-throughput sequencing using Illumina Genome Analyzer II and Illumina HiSeq 2000 (RNA-Seq) was performed on seven stages of soybean seeds, with two biological replicates per stage."
122,"Microbe associated molecular pattern (MAMP)-triggered immunity (MTI) is an important component of the plant innate immunity response to invading pathogens. Although several MTI responses can be measured in different plant species, their magnitude is likely plant-species specific and even cultivar specific. In this work, we show that the variation in gene expression, either under untreated or treated conditions, is inherited. In addition, genes with potential additive and non-additive effects were identified in two mapping lines, several of these with a potential function in the control of the innate immunity. Likewise, we observed that some genes differentially expressed across the parental and mapping lines showed different DNA methylation patterns. Finally, a gene regulatory module analysis identified key networks that likely control soybean innate immunity. The data presented represent the basis for further functional analysis that can lead to a better understanding of the soybean innate immunity response. Overall design: RNA-Seq data collected from Glycine max leaves treated with MAMPs of two parental lines of a RIL population and two individual RILs."
123,Virus Induced Gene Silencing (VIGS) was used to silence the expression of soybean Replication Protein 3 (GmRPA3). RNAseq was used to compare gene expression in GmRPA3 silenced and empty vector treated plants.
124,"To provide novel insights into the molecular basis of floral initiation, RNASeq was used to characterize the soybean transcriptome of leaf and micro-dissected shoot apical meristem at different time points after short-day treatment."
125,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Seventeen compartments of the Early Maturation stage of the soybean seeds were analyzed. Three to four biological replicates were collected for each compartment."
126,"Soybean (Glycine max) seeds are an important source of seed storage compounds, including protein, oil, and sugar used for food, feed, chemical, and biofuel production. We assessed detailed temporal transcriptional and metabolic changes in developing soybean embryos to gain a systems biology view of developmental and metabolic changes and to identify potential targets for metabolic engineering. Two major developmental and metabolic transitions were captured enabling identification of potential metabolic engineering targets specific to seed filling and to desiccation. The first transition involved a switch between different types of metabolism in dividing and elongating cells. The second transition involved the onset of maturation and desiccation tolerance during seed filling and a switch from photoheterotrophic to heterotrophic metabolism. Clustering analyses of metabolite and transcript data revealed clusters of functionally related metabolites and transcripts active in these different developmental and metabolic programs. The gene clusters provide a resource to generate predictions about the associations and interactions of unknown regulators with their targets based on    guilt-by-association    relationships. The inferred regulators also represent potential targets for future metabolic engineering of relevant pathways and steps in central carbon and nitrogen metabolism in soybean embryos and drought and desiccation tolerance in plants. Overall design: Total mRNA profiles of 10 time course samples of Soybean developing embryos with three replicates per sample were generated by deep sequencing, using Illumina HiSeq 2000"
127,Soybean (Peking c.v) roots.
128,"The seed coat is a vital tissue for directing nutrient supply to the embryo and cotyledons during development. By forming a sucrose gradient, the seed coat promotes transport of sugars from source leaves to seeds, thereby increasing sink strength. Understanding how gene regulation in sink tissue is altered by climate change factors will help elucidate the role these genes play in determining yield. This project aims to determine how elevated temperature, drought and ozone alter gene expression in the seed coat. Overall this study discovered high abundance seed coat specific genes, which may be candidates for functional genomic analysis in the future."
129,HiPro soybean RNA-seq.
130,"Intercropping is a sustainable agricultural practice widely used around the world for enhancing resource use efficiency. However, short crops often grow in shade condition underneath the canopy of tall crops. Soybean is one of the most important oil crops and usually is planted in intercropping patterns. However, little is known about the acclimation responses of soybean leaves to shade in intercropping condition at the transcriptome level."
