biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random,bases,bytes,run_file_create_date,age_sam,treatment_sam_ss_dpl55,primary_search,cultivar_sam,dev_stage_sam,ecotype_sam,isolate_sam_ss_dpl100,tissue_sam_ss_dpl145,disease_sam,population_sam_s_dpl40,geo_accession_exp,source_name_sam,developmental_stage_sam,assemblyname,accession_sam,biological_replicate_sam,collected_by_sam,collection_location_sam,graft_combination_sam,growth_protocol_sam_s_dpl216,genotype_sam_ss_dpl92,id_column_sam,biomaterial_provider_sam,photoperiod_sam,sample_time_sam,treatment_time_point_sam_s_dpl419,replicate_sam_ss_dpl121,nominal_length_run,run_id_run,biome_sam,env_package_sam,estimated_size_sam,feature_sam,investigation_type_sam,isol_growth_condt_sam,lat_lon_sam_s_dpl34,material_sam,num_replicons_sam,ploidy_sam,project_name_sam,propagation_sam,ref_biomaterial_sam,strain_sam_ss_dpl139,dangling_references_run,hours_after_treatment_sam,development_stage_sam,fasta_file_run,phenotype_sam,seed_harvest_year_sam,specimen_voucher_sam,host_sam,isolation_source_sam,compartment_sam,sex_calc,breed_sam,sample_type_sam_ss_dpl131,condition_sam_ss_dpl69,transgenic_line_sam_s_dpl414,genetic_background_sam,cell_type_sam_ss_dpl37,line_sam_s_dpl22,sample_group_sam_s_dpl128,time_point_sam,culture_collection_sam_ss_dpl468,sample_sam,location_sam,develomental_stage_sam,cell_line_sam,tmp_sam,seed_length_sam,read_name_barcode_proc_directive_run,growth_condition_sam,file_name_sam,library_id_sam,label_sam,stage_sam,disease_stage_sam_s_dpl172,seed_compartments_tissue_sam,temp_sam,generation_sam_s_dpl91,transgenic_status_sam,preservation_sam,seed_region_sam,seed_weight_sam,trait_sam,treatment_stage_sam,time_after_imbibition_sam,tissue_type_sam_s_dpl410,infection_time_sam,plant_phenotype_sam,time_sam,hours_post_inoculation_sam_s_dpl245,identity_sam,bioproject_id_sam,sample_title_sam,sampling_time_point_sam_s_dpl522,transgene_sam,height_or_length_sam,id_sam,growth_stage_sam,treatment_time_sam,distinctive_attribute_sam,phosphorus_conccentration_sam,age_at_rna_extraction_sam,timepoint_sam_ss_dpl17,genotype_variation_sam,sample_id_sam,tissue_source_sam,experimental_factor__7_1_exp,broker_name_sam,common_name_sam,ena_first_public_sam_dt_dpl178,ena_last_update_sam_ss_dpl537,external_id_sam,insdc_center_alias_sam,insdc_center_name_sam,insdc_first_public_sam,insdc_last_update_sam,insdc_status_sam,metabolic_process_sam,organism_part_sam,submitter_id_sam,agent_sam,block_sam,sample_summary_sam,purification_sam,gene_insert_sam,strain_ecotype_sam,tissue_and_developemental_stage_sam,technique_sam,day_moved_sam,ion_stress_sam,vigs_sam,infection_sam,fungal_isolate_sam,_48_h_inoculation_sam,sampling_time__h__sam,reference_annotation_used_for_mapping_sam,root_zone_sam,days_after_treatment_sam,dehydration_sam,glyceollins_elicitation_sam,medium_ph_sam,replication_sam_s_dpl43,cummulative_precipitation_at_sampling_sam,sampling_date_sam,temperature_at_sampling_sam,seed_field_emergence_sam,time_of_seed_harvest_sam,pi_email_run,pi_name_run,pi_orcid_run,pi_organization_run,subregion_sam,total_rna_input_amount_sam,identifier_seq_id_sam,truseq_index_500_sam,truseq_index_700_sam,well_position_sam,inoculation_sam,cultivar_line_sam,tissue_1_sam,tissue_2_sam,cultivar_genotype_sam,library_type_sam_s_dpl277,mutant_sam,tissue_developmental_stage_sam,experimental_factor__cultivar_exp,experimental_factor__growth_condition_exp,experimental_factor__time_exp,ena_first_public_sam,ena_last_update_sam,scientific_name_sam,dawei_sam,md5sum_sam,ozone_level_sam,replicates_sam_s_dpl124,experimental_factor__phenotype_exp,infect_sam,body_site_sam,specific_host_sam,cultivars_sam,pigmentation_sam,design_description_sam,filetype_sam,instrument_model_sam,library_layout_sam,library_selection_sam,library_source_sam,library_strategy_sam,platform_sam,title_sam,graft_scion_sam,graft_stock_sam,manganese_concentration_sam,tem_sam,fusarium_virguliforme_strain_sam,soybean_cultivar_sam,tissue_age_sam_s_dpl615,experimental_factor__6_0_exp,tag_sam,filename2_sam,filename_sam,reference_annotation_sam,inoculation_treatment_sam,mg_concentration_sam,cultivar_id_sam,cultivar_type_sam,innoculation_sam,experimental_factor__1_8_exp,tissue_3_sam,tissue_4_sam,description_sam,individual_sam,env_broad_scale_sam,env_local_scale_sam,env_medium_sam,quality_book_char_run,quality_scoring_system_run,accession_ecotype_sam,tissue_and_developmental_stage_sam,experimental_factor__1_4_exp,concentration_sam,cultivation_pattren_sam,er_gfp_sam,subsrc_note_sam_s_dpl392,authors_sam,env_biome_sam
SAMN05908877,SRR4428969,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250490,5-6-3-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750438,Glycine max,SRP091708,2016-10-23,PRJNA348534,1053.0,,200.0,1820.0,,5-6-3-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.869729110051345,1820481800.0,1104433126.0,2016-10-18T13:44:00.000Z,24 days,control,"['348534', '5-6-3-N', '5-6-3-N_ACAGTG_L001_R2.fastq', '5908877', 'PRJNA348534', 'SAMN05908877', 'SRP091708', 'SRR4428969', 'SRS1750438', 'SRX2250490']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908880,SRR4428977,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250498,5-9-1-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750446,Glycine max,SRP091708,2016-10-23,PRJNA348534,1302.0,,200.0,2323.0,,5-9-1-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.453686210968282,2323230800.0,1366145568.0,2016-10-18T13:44:00.000Z,27 days,control,"['348534', '5-9-1-N', '5-9-1-N_GTGGCC_L002_R1.fastq', '5908880', 'PRJNA348534', 'SAMN05908880', 'SRP091708', 'SRR4428977', 'SRS1750446', 'SRX2250498']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908882,SRR4428983,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250506,5-9-2-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750452,Glycine max,SRP091708,2016-10-23,PRJNA348534,1766.0,,200.0,3085.0,,5-9-2-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.0112903344230362,3085708200.0,1852098531.0,2016-10-18T13:45:00.000Z,27 days,control,"['348534', '5-9-2-N', '5-9-2-N_GTTTCG_L002_R2.fastq', '5908882', 'PRJNA348534', 'SAMN05908882', 'SRP091708', 'SRR4428983', 'SRS1750452', 'SRX2250506']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908887,SRR4428981,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250504,5-9-3-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750450,Glycine max,SRP091708,2016-10-23,PRJNA348534,2111.0,,200.0,3723.0,,5-9-3-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.567245949429087,3723748200.0,2213930480.0,2016-10-18T13:47:00.000Z,27 days,control,"['348534', '5-9-3-N', '5-9-3-N_CGTACG_L002_R1.fastq', '5908887', 'PRJNA348534', 'SAMN05908887', 'SRP091708', 'SRR4428981', 'SRS1750450', 'SRX2250504']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908889,SRR4428996,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250522,5-12-1-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750462,Glycine max,SRP091708,2016-10-23,PRJNA348534,1089.0,,200.0,1874.0,,5-12-1-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.932320536651834,1874101800.0,1142173352.0,2016-10-18T13:44:00.000Z,30 days,control,"['348534', '5-12-1-N', '5-12-1-N_AGTCAA_L001_R1.fastq', '5908889', 'PRJNA348534', 'SAMN05908889', 'SRP091708', 'SRR4428996', 'SRS1750462', 'SRX2250522']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908891,SRR4428998,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250524,5-12-2-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750464,Glycine max,SRP091708,2016-10-23,PRJNA348534,1181.0,,200.0,2036.0,,5-12-2-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.285814807143161,2036096400.0,1238372482.0,2016-10-18T13:44:00.000Z,30 days,control,"['348534', '5-12-2-N', '5-12-2-N_AGTTCC_L002_R2.fastq', '5908891', 'PRJNA348534', 'SAMN05908891', 'SRP091708', 'SRR4428998', 'SRS1750464', 'SRX2250524']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05908894,SRR4428992,RNA-Seq,CLEMSON UNIVERSITY,public,SRX2250518,5-12-3-N,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS1750458,Glycine max,SRP091708,2016-10-23,PRJNA348534,748.0,,200.0,1278.0,,5-12-3-N,[Plant],,USA,North America,[USA:South Carolina],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.597496335277513,1278099600.0,785365179.0,2016-10-18T13:43:00.000Z,30 days,control,"['348534', '5-12-3-N', '5-12-3-N_ATGTCA_L001_R2.fastq', '5908894', 'PRJNA348534', 'SAMN05908894', 'SRP091708', 'SRR4428992', 'SRS1750458', 'SRX2250518']",Hutcheson,,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05969984,SRR5028747,RNA-Seq,HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY,public,SRX2354701,T01,Illumina HiSeq 4000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS1804153,Glycine max,SRP093481,2020-11-01,PRJNA352344,1775.0,,251.0,5323.0,,T01,[Plant],,China,Asia,"[China:heilongjiang,daqing]",,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.894780206903503,5323114736.0,1862241906.0,2016-11-17T03:46:00.000Z,,,"['352344', '5969984', 'Glycine max_Control_T01_1.fq.gz', 'PRJNA352344', 'SAMN05969984', 'SRP093481', 'SRR5028747', 'SRS1804153', 'SRX2354701', 'T01']",Shuinong 28,seedling stage,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05970071,SRR5028744,RNA-Seq,HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY,public,SRX2354698,T02,Illumina HiSeq 4000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS1804151,Glycine max,SRP093481,2020-11-01,PRJNA352344,1615.0,,251.0,4855.0,,T02,[Plant],,China,Asia,"[China:heilongjiang,daqing]",,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.929036633121313,4855253956.0,1693831977.0,2016-11-17T03:41:00.000Z,,,"['352344', '5970071', 'Glycine max_Control_T02_2.fq.gz', 'PRJNA352344', 'SAMN05970071', 'SRP093481', 'SRR5028744', 'SRS1804151', 'SRX2354698', 'T02']",Shuinong 28,seedling stage,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN05970251,SRR5028746,RNA-Seq,HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY,public,SRX2354700,T03,Illumina HiSeq 4000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS1804152,Glycine max,SRP093481,2020-11-01,PRJNA352344,1454.0,,251.0,4358.0,,T03,[Plant],,China,Asia,"[China:heilongjiang,daqing]",,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.335460025935455,4358489192.0,1525203000.0,2016-11-17T03:38:00.000Z,,,"['352344', '5970251', 'Glycine max_Control_T03_2.fq.gz', 'PRJNA352344', 'SAMN05970251', 'SRP093481', 'SRR5028746', 'SRS1804152', 'SRX2354700', 'T03']",Shuinong 28,seedling stage,,,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202252,SRR5655613,RNA-Seq,GEO,public,SRX2892202,GSM2651556,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259962,Glycine max,SRP108748,2017-06-09,PRJNA389558,1374.0,,126.0,4055.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.79950196082207,4055652342.0,1440796380.0,2017-06-08T10:49:00.000Z,,,"['389558', '7202252', 'GSE99758', 'GSM2651556', 'GSM2651556_r1', 'PRJNA389558', 'SAMN07202252', 'SRP108748', 'SRR5655613', 'SRS2259962', 'SRX2892202']",Illini,,,,leaves,,,GSM2651556,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202253,SRR5655636,RNA-Seq,GEO,public,SRX2892225,GSM2651579,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259985,Glycine max,SRP108748,2017-06-09,PRJNA389558,1281.0,,126.0,3870.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.429076935621003,3870696690.0,1343916781.0,2017-06-08T10:47:00.000Z,,,"['389558', '7202253', 'GSE99758', 'GSM2651579', 'GSM2651579_r1', 'PRJNA389558', 'SAMN07202253', 'SRP108748', 'SRR5655636', 'SRS2259985', 'SRX2892225']",Cumberland,,,,leaves,,,GSM2651579,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202254,SRR5655635,RNA-Seq,GEO,public,SRX2892224,GSM2651578,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259984,Glycine max,SRP108748,2017-06-09,PRJNA389558,1111.0,,126.0,3349.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.807211374376452,3349315746.0,1165093372.0,2017-06-08T10:44:00.000Z,,,"['389558', '7202254', 'GSE99758', 'GSM2651578', 'GSM2651578_r1', 'PRJNA389558', 'SAMN07202254', 'SRP108748', 'SRR5655635', 'SRS2259984', 'SRX2892224']",Corsoy,,,,leaves,,,GSM2651578,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202255,SRR5655634,RNA-Seq,GEO,public,SRX2892223,GSM2651577,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259983,Glycine max,SRP108748,2017-06-09,PRJNA389558,1098.0,,126.0,3291.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.208346487537024,3291905232.0,1152266845.0,2017-06-08T10:45:00.000Z,,,"['389558', '7202255', 'GSE99758', 'GSM2651577', 'GSM2651577_r1', 'PRJNA389558', 'SAMN07202255', 'SRP108748', 'SRR5655634', 'SRS2259983', 'SRX2892223']",Clark,,,,leaves,,,GSM2651577,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202256,SRR5655633,RNA-Seq,GEO,public,SRX2892222,GSM2651576,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259982,Glycine max,SRP108748,2017-06-09,PRJNA389558,946.0,,126.0,2853.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.831979318465006,2853076716.0,992517850.0,2017-06-08T10:40:00.000Z,,,"['389558', '7202256', 'GSE99758', 'GSM2651576', 'GSM2651576_r1', 'PRJNA389558', 'SAMN07202256', 'SRP108748', 'SRR5655633', 'SRS2259982', 'SRX2892222']",Chippewa,,,,leaves,,,GSM2651576,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202257,SRR5655632,RNA-Seq,GEO,public,SRX2892221,GSM2651575,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259981,Glycine max,SRP108748,2017-06-09,PRJNA389558,1042.0,,126.0,3138.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.203420731821492,3138798096.0,1093411294.0,2017-06-08T10:43:00.000Z,,,"['389558', '7202257', 'GSE99758', 'GSM2651575', 'GSM2651575_r1', 'PRJNA389558', 'SAMN07202257', 'SRP108748', 'SRR5655632', 'SRS2259981', 'SRX2892221']",Calland,,,,leaves,,,GSM2651575,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202258,SRR5655631,RNA-Seq,GEO,public,SRX2892220,GSM2651574,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259980,Glycine max,SRP108748,2017-06-09,PRJNA389558,933.0,,126.0,2818.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.709380010863597,2818210248.0,979244729.0,2017-06-08T10:38:00.000Z,,,"['389558', '7202258', 'GSE99758', 'GSM2651574', 'GSM2651574_r1', 'PRJNA389558', 'SAMN07202258', 'SRP108748', 'SRR5655631', 'SRS2259980', 'SRX2892220']",Pella,,,,leaves,,,GSM2651574,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN07202259,SRR5655630,RNA-Seq,GEO,public,SRX2892219,GSM2651573,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS2259979,Glycine max,SRP108748,2017-06-09,PRJNA389558,1004.0,,126.0,3016.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.36711442695085,3016936566.0,1053644980.0,2017-06-08T10:44:00.000Z,,,"['389558', '7202259', 'GSE99758', 'GSM2651573', 'GSM2651573_r1', 'PRJNA389558', 'SAMN07202259', 'SRP108748', 'SRR5655630', 'SRS2259979', 'SRX2892219']",Bonus,,,,leaves,,,GSM2651573,leaves,V2 (18 days old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
