biosample,attr
SAMN32153764,"{'title': 'Varieties of 355', 'Identifiers': {'BioSample': 'SAMN32153764', 'Sample name': 'JL129', 'SRA': 'SRS16165335'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153764', 'ID': '32153764'}"
SAMN16674315,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN16674315', 'Sample name': 's5CK-R-5', 'SRA': 'SRS7798746'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'Wm82', 'ecotype': 'not applicable', 'age': 'not applicable', 'tissue': 'Root', 'treatment': 'CK-5'}, 'Accession': 'SAMN16674315', 'ID': '16674315'}"
SAMN09716561,"{'title': 'YH40_4B6', 'Identifiers': {'BioSample': 'SAMN09716561', 'SRA': 'SRS3596250', 'GEO': 'GSM3306924'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'LD', 'genotype': '3'}, 'Accession': 'SAMN09716561', 'ID': '9716561'}"
SAMN20971795,"{'title': 'Mock-inoculated Williams rep 3 [WM-3a]', 'Identifiers': {'BioSample': 'SAMN20971795', 'SRA': 'SRS9919101', 'GEO': 'GSM5536786'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Soybean cultivar Williams'}, 'Accession': 'SAMN20971795', 'ID': '20971795'}"
SAMN19271397,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN19271397', 'Sample name': '37_S37', 'SRA': 'SRS9035542'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not available', 'cultivar': 'not available', 'ecotype': 'not available', 'age': '3 months', 'tissue': 'leaf'}, 'Accession': 'SAMN19271397', 'ID': '19271397'}"
SAMN09513490,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN09513490', 'Sample name': 'SL209541', 'SRA': 'SRS3480900'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'P. sojae 1.S.1.1', 'cultivar': '12244', 'ecotype': 'Conrad x Sloan', 'age': '24 hai', 'tissue': 'inoculation site: ~2 cm below the crown', 'population': 'F9:11 Recombinant inbred line', 'treatment': 'Mock'}, 'Accession': 'SAMN09513490', 'ID': '9513490'}"
SAMN32153892,"{'title': 'Varieties of 483', 'Identifiers': {'BioSample': 'SAMN32153892', 'Sample name': 'JL274', 'SRA': 'SRS16279907'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153892', 'ID': '32153892'}"
SAMN15041198,"{'title': 'ZH24-60-1', 'Identifiers': {'BioSample': 'SAMN15041198', 'Sample name': 'ZH24-60-1', 'SRA': 'SRS6721727'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Zhonghuang 24', 'tissue': 'unifoliate leaf', 'treatment': '60 hours after continuous light treatment replicate 1'}, 'Accession': 'SAMN15041198', 'ID': '15041198'}"
SAMN08461534,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN08461534', 'Sample name': 'ACC-082', 'SRA': 'SRS3011466'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'PI 437654', 'tissue': 'shoot apical meristem'}, 'Accession': 'SAMN08461534', 'ID': '8461534'}"
SAMN19663684,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN19663684', 'Sample name': 'soybean root 15d with BSO and SCN', 'SRA': 'SRS9651522'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams82', 'age': 'seeding 17days', 'tissue': 'root'}, 'Accession': 'SAMN19663684', 'ID': '19663684'}"
SAMN11371513,"{'title': 'Root segment above and below emerging nodules, replicate 2', 'Identifiers': {'BioSample': 'SAMN11371513', 'SRA': 'SRS4600825', 'GEO': 'GSM3714645'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'root', 'cultivar': 'Williams 82'}, 'Accession': 'SAMN11371513', 'ID': '11371513'}"
SAMN10476541,"{'title': 'GmBR16_80_DAG_2', 'Identifiers': {'BioSample': 'SAMN10476541', 'SRA': 'SRS4076028', 'GEO': 'GSM3488018'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'leaf', 'age': '80 days after germination'}, 'Accession': 'SAMN10476541', 'ID': '10476541'}"
SAMN25263533,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN25263533', 'Sample name': 'ZC3-24h-IN-3', 'SRA': 'SRS12019982'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Zhechun NO.3', 'tissue': 'Pod', 'replicate': 'replicate = biological replicate 54'}, 'Accession': 'SAMN25263533', 'ID': '25263533'}"
SAMN21359827,"{'title': 'Root tissue, PI 090392 (G10), sufficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359827', 'Sample name': 'G10_PI90392_Root_Suf_Rep1', 'SRA': 'SRS10167657'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': '7352', 'accession': 'PI 090392', 'age': '60 minutes after iron stress', 'tissue': 'Root', 'collection_location': 'Ames, IA', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 1 of 3'}, 'Accession': 'SAMN21359827', 'ID': '21359827'}"
SAMN03003058,"{'title': 'Glycine max williams82', 'Identifiers': {'BioSample': 'SAMN03003058', 'Sample name': '1019869', 'SRA': 'SRS1527082'}, 'Organism': 'Glycine max', 'Attributes': {'strain': 'williams82', 'ploidy': 'missing', 'propagation': 'missing'}, 'Accession': 'SAMN03003058', 'ID': '3003058'}"
SAMN27775866,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN27775866', 'Sample name': 'V1OEL3', 'SRA': 'SRS12761027'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Jack', 'tissue': 'Leaf', 'genotype': 'V1 Transgenic FT3a replicate 3 in LD'}, 'Accession': 'SAMN27775866', 'ID': '27775866'}"
SAMN37387608,"{'title': 'sample_A531d3_2', 'Identifiers': {'BioSample': 'SAMN37387608', 'Sample name': 'A531d3_2', 'SRA': 'SRS18909536'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'missing', 'cultivar': 'heilong538', 'ecotype': 'missing', 'age': 'missing', 'tissue': 'leaf', 'treatment': '8'}, 'Accession': 'SAMN37387608', 'ID': '37387608'}"
SAMN21359678,"{'title': 'Leaf tissue, PI 578366 (G3), sufficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359678', 'Sample name': 'G3_PI578366_Leaf_Suf_Rep2', 'SRA': 'SRS10167621'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Hong hu liu yue bao', 'accession': 'PI 578366', 'age': '60 minutes after iron stress', 'tissue': '1st trifoliolate leaflets', 'collection_location': 'Ames, IA', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 2 of 3'}, 'Accession': 'SAMN21359678', 'ID': '21359678'}"
SAMN09716036,"{'title': 'YH17_5D5', 'Identifiers': {'BioSample': 'SAMN09716036', 'SRA': 'SRS3595739', 'GEO': 'GSM3306413'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'SD', 'genotype': '3'}, 'Accession': 'SAMN09716036', 'ID': '9716036'}"
SAMN14752205,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN14752205', 'Sample name': 'WT-rep1', 'SRA': 'SRS6559563'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'harosoy', 'age': '2 weeks', 'tissue': 'leaf', 'treatment': 'WT', 'replicate': 'biological replicate 1'}, 'Accession': 'SAMN14752205', 'ID': '14752205'}"
SAMN13175301,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN13175301', 'Sample name': 'M90-24', 'SRA': 'SRS5705813'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Glycine max', 'age': 'Four days', 'tissue': 'root'}, 'Accession': 'SAMN13175301', 'ID': '13175301'}"
SAMN25290789,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN25290789', 'Sample name': 'LO30c', 'SRA': 'SRS11864093'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'low oleic acid content', 'tissue': 'Seeds', 'replicate': 'replicate = biological replicate 3'}, 'Accession': 'SAMN25290789', 'ID': '25290789'}"
SAMN35718259,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN35718259', 'Sample name': 'ENR2', 'SRA': 'SRS17960011'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Zhonghuang13', 'age': '10d', 'tissue': 'Leaves', 'replicate': 'replicate = biological replicate 5'}, 'Accession': 'SAMN35718259', 'ID': '35718259'}"
SAMN11836274,"{'title': 'HR-W82-WGE200x1d-1_S5', 'Identifiers': {'BioSample': 'SAMN11836274', 'SRA': 'SRS4809798', 'GEO': 'GSM3813943'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams82', 'treatment': 'WGE', 'tissue': 'hairy root'}, 'Accession': 'SAMN11836274', 'ID': '11836274'}"
SAMN31361600,"{'title': 'T2', 'Identifiers': {'BioSample': 'SAMN31361600', 'Sample name': '18C-2', 'SRA': 'SRS15493880'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': '18 biological replicate 2', 'cultivar': 'ZH39', 'ecotype': 'China', 'age': '7DAT', 'tissue': 'Leaf'}, 'Accession': 'SAMN31361600', 'ID': '31361600'}"
SAMN00265078,"{'title': 'Early maturation-stage seed coat parenchyma region', 'Identifiers': {'BioSample': 'SAMN00265078', 'Sample name': 'GSM721719', 'SRA': 'SRS192963'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Asgrow A3237', 'tissue': 'seed coat parenchyma layer'}, 'Accession': 'SAMN00265078', 'ID': '265078'}"
SAMN13107050,"{'title': 'Plant sample from Glycine max PI(+)2', 'Identifiers': {'BioSample': 'SAMN13107050', 'Sample name': 'PI(+)2', 'SRA': 'SRS5570179'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Pingliang xiaoheidou; Magellan', 'tissue': 'Root'}, 'Accession': 'SAMN13107050', 'ID': '13107050'}"
SAMN15648070,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648070', 'Sample name': 'a3-5', 'SRA': 'SRS7093148'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P035', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648070', 'ID': '15648070'}"
SAMN16725452,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN16725452', 'Sample name': '24-hour-imbibed axes, 19-year-old seed, associated cotyledons did not green', 'SRA': 'SRS7680444'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'age': '19 years', 'tissue': 'embryonic axis', 'phenotype': 'white cotyledons; seed lot has 60% germination', 'treatment': 'imbibed 24 hours', 'seed_harvest_year': '1999'}, 'Accession': 'SAMN16725452', 'ID': '16725452'}"
SAMN29993489,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN29993489', 'Sample name': 'soy-Y1138-10-3', 'SRA': 'SRS14458604'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'NN1138 10_DPA replicate 3', 'tissue': 'ovule'}, 'Accession': 'SAMN29993489', 'ID': '29993489'}"
SAMN11807770,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN11807770', 'Sample name': 'CN107385_S52', 'SRA': 'SRS4816950'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Maple Belle', 'tissue': 'first trifoliate leaves and apex', 'genotype': 'CULTIVAR', 'treatment': 'stored 21 yrs after seed regeneration'}, 'Accession': 'SAMN11807770', 'ID': '11807770'}"
SAMN32153454,"{'title': 'Varieties of 45', 'Identifiers': {'BioSample': 'SAMN32153454', 'Sample name': 'CX112', 'SRA': 'SRS16216839'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153454', 'ID': '32153454'}"
SAMN32153472,"{'title': 'Varieties of 63', 'Identifiers': {'BioSample': 'SAMN32153472', 'Sample name': 'CX132', 'SRA': 'SRS16216860'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153472', 'ID': '32153472'}"
SAMN06313223,"{'title': 'Gene expression analysis of Glycine max williams82 - Root - 039-E03', 'Identifiers': {'BioSample': 'SAMN06313223', 'SRA': 'SRS2154080', 'DOE Joint Genome Institute': 'Gp0176289'}, 'Organism': 'Glycine max', 'Attributes': {'ploidy': 'missing', 'propagation': 'missing', 'cultivar': 'Williams82', 'host': 'not applicable'}, 'Accession': 'SAMN06313223', 'ID': '6313223'}"
SAMN36630237,"{'title': 'Low phosphate flowers replicate 1', 'Identifiers': {'BioSample': 'SAMN36630237', 'SRA': 'SRS18369471', 'GEO': 'GSM7653586'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'flowers', 'genotype': 'Magellan', 'treatment': 'Low phosphate (phosphate concentration was reduced by 90%)'}, 'Accession': 'SAMN36630237', 'ID': '36630237'}"
SAMN02746728,"{'title': 'Soybean Heart Stage Embryo Proper-Biological replicate 3', 'Identifiers': {'BioSample': 'SAMN02746728', 'SRA': 'SRS602572', 'GEO': 'GSM1380801'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Williams 82', 'compartment': 'Embryo Proper'}, 'Accession': 'SAMN02746728', 'ID': '2746728'}"
SAMN31495088,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN31495088', 'Sample name': 'A-A-2', 'SRA': 'SRS15558243'}, 'Organism': 'Glycine max', 'Attributes': {'replicate': 'biological replicate 2', 'isolate': 'uninucleate microspore stage', 'cultivar': 'W931A', 'ecotype': 'Cultivar', 'age': 'not applicable', 'tissue': 'anther'}, 'Accession': 'SAMN31495088', 'ID': '31495088'}"
SAMN37387604,"{'title': 'sample_A531d2_1', 'Identifiers': {'BioSample': 'SAMN37387604', 'Sample name': 'A531d2_1', 'SRA': 'SRS18909533'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'missing', 'cultivar': 'heilong534', 'ecotype': 'missing', 'age': 'missing', 'tissue': 'leaf', 'treatment': '4'}, 'Accession': 'SAMN37387604', 'ID': '37387604'}"
SAMN08287156,"{'title': 'Model organism or animal sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN08287156', 'Sample name': 'TZX-172', 'SRA': 'SRS2838507'}, 'Organism': 'Glycine max', 'Attributes': {'strain': 'missing', 'isolate': 'missing', 'breed': 'improved cultivar5', 'cultivar': 'missing', 'ecotype': 'improved cultivar', 'age': 'missing', 'sex': 'missing', 'tissue': 'stem'}, 'Accession': 'SAMN08287156', 'ID': '8287156'}"
SAMN09976652,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN09976652', 'Sample name': '001', 'SRA': 'SRS3750425'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': '001', 'age': '1', 'tissue': 'flower buds'}, 'Accession': 'SAMN09976652', 'ID': '9976652'}"
SAMN19243733,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN19243733', 'Sample name': '44-S98', 'SRA': 'SRS9035557'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not available', 'cultivar': 'not available', 'ecotype': 'not available', 'age': '3 months', 'tissue': 'leaf'}, 'Accession': 'SAMN19243733', 'ID': '19243733'}"
SAMN30685021,"{'title': 'RNA-seq of soybean overexpressing GmFT2a in mocked group', 'Identifiers': {'BioSample': 'SAMN30685021', 'Sample name': 'OE_W2_rep3', 'SRA': 'SRS14991406'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Overexpressing GmFT2a in Jack background', 'tissue': 'Leaves', 'treatment': 'Mock', 'replicate': 'OE_W2_rep3'}, 'Accession': 'SAMN30685021', 'ID': '30685021'}"
SAMN13107057,"{'title': 'Plant sample from Glycine max Mag(+)1', 'Identifiers': {'BioSample': 'SAMN13107057', 'Sample name': 'Mag(+)1', 'SRA': 'SRS5570184'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Pingliang xiaoheidou; Magellan', 'tissue': 'Root'}, 'Accession': 'SAMN13107057', 'ID': '13107057'}"
SAMN21359672,"{'title': 'Leaf tissue, PI 612611 (G2), sufficient iron conditions', 'Identifiers': {'BioSample': 'SAMN21359672', 'Sample name': 'G2_PI612611_Leaf_Suf_Rep2', 'SRA': 'SRS10109589'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Browngilgun', 'accession': 'PI 612611', 'age': '60 minutes after iron stress', 'tissue': '1st trifoliolate leaflets', 'collection_location': 'Ames, IA', 'treatment': 'Sufficient iron', 'biological_replicate': 'Rep 2 of 3'}, 'Accession': 'SAMN21359672', 'ID': '21359672'}"
SAMN11371517,"{'title': 'Root segment above and below young lateral roots, replicate 3', 'Identifiers': {'BioSample': 'SAMN11371517', 'SRA': 'SRS4600844', 'GEO': 'GSM3714664'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'root', 'cultivar': 'Williams 82'}, 'Accession': 'SAMN11371517', 'ID': '11371517'}"
SAMN09715866,"{'title': 'YH26_4G9', 'Identifiers': {'BioSample': 'SAMN09715866', 'SRA': 'SRS3595946', 'GEO': 'GSM3306617'}, 'Organism': 'Glycine max', 'Attributes': {'tissue': 'The whole shoot above cotelydon', 'photoperiod': 'LD', 'genotype': '3'}, 'Accession': 'SAMN09715866', 'ID': '9715866'}"
SAMN32153437,"{'title': 'Varieties of 28', 'Identifiers': {'BioSample': 'SAMN32153437', 'Sample name': 'C42', 'SRA': 'SRS16216821'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not determined', 'cultivar': 'soybean', 'ecotype': 'not determined', 'age': 'not determined', 'tissue': 'seed'}, 'Accession': 'SAMN32153437', 'ID': '32153437'}"
SAMN15581362,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15581362', 'Sample name': 'Glycine max', 'SRA': 'SRS7055510'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'Hang Zhou', 'cultivar': 'Soybean', 'age': '8', 'tissue': 'seed'}, 'Accession': 'SAMN15581362', 'ID': '15581362'}"
SAMN36760710,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN36760710', 'Sample name': 'R89-5-2', 'SRA': 'SRS18451545'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'R89-5 line repeat 2 in CSSL population', 'tissue': 'Embryo'}, 'Accession': 'SAMN36760710', 'ID': '36760710'}"
SAMN15648209,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648209', 'Sample name': 'a15-16', 'SRA': 'SRS7093040'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P183', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648209', 'ID': '15648209'}"
SAMN15648547,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648547', 'Sample name': 'T251046-50', 'SRA': 'SRS7093109'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P547', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648547', 'ID': '15648547'}"
SAMN08707419,"{'title': 'Zn sufficient leaf-rep2', 'Identifiers': {'BioSample': 'SAMN08707419', 'SRA': 'SRS3039940', 'GEO': 'GSM3039921'}, 'Organism': 'Glycine max', 'Attributes': {'strain': 'Williams 82', 'tissue': 'first trifoliate true leaf', 'treatment': 'with zinc element in the nutrient solution'}, 'Accession': 'SAMN08707419', 'ID': '8707419'}"
SAMN33988712,"{'title': 'BRSMG 715A T0-1', 'Identifiers': {'BioSample': 'SAMN33988712', 'Sample name': '81', 'SRA': 'SRS17182248'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'BRSMG 715 A', 'tissue': 'Seed', 'phenotype': 'Black seed coat', 'treatment': 'Freshly harvested', 'Replicate': '1'}, 'Accession': 'SAMN33988712', 'ID': '33988712'}"
SAMN39205573,"{'title': 'QS15544_paired_L76_R1', 'Identifiers': {'BioSample': 'SAMN39205573', 'Sample name': 'RNA_seq_sample_QS15544_RIL_309', 'SRA': 'SRS20030257'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'Population QS15544', 'ecotype': 'Population QS15544', 'age': '25 days', 'tissue': 'Leaf tissue from V4 stage', 'population': 'QS15544'}, 'Accession': 'SAMN39205573', 'ID': '39205573'}"
SAMN07130390,"{'title': 'Null replicate 2', 'Identifiers': {'BioSample': 'SAMN07130390', 'SRA': 'SRS2204573', 'GEO': 'GSM2628299'}, 'Organism': 'Glycine max', 'Attributes': {'condition': 'well watered', 'replicate': '2'}, 'Accession': 'SAMN07130390', 'ID': '7130390'}"
SAMN40001365,"{'title': 'L4C_3', 'Identifiers': {'BioSample': 'SAMN40001365', 'Sample name': 'L4C_3', 'SRA': 'SRS20640495'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'missing', 'cultivar': 'Glycine max', 'ecotype': 'missing', 'age': 'missing', 'tissue': 'seed', 'treatment': 'no', 'replicate': 'replicate = biological replication 3'}, 'Accession': 'SAMN40001365', 'ID': '40001365'}"
SAMN19243750,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN19243750', 'Sample name': '61-S115', 'SRA': 'SRS9035608'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not available', 'cultivar': 'not available', 'ecotype': 'not available', 'age': '3 months', 'tissue': 'leaf'}, 'Accession': 'SAMN19243750', 'ID': '19243750'}"
SAMN15648514,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN15648514', 'Sample name': 'd1-6', 'SRA': 'SRS7092738'}, 'Organism': 'Glycine max', 'Attributes': {'isolate': 'not applicable', 'cultivar': 'P514', 'ecotype': 'YHSBLP', 'age': 'not applicable', 'tissue': 'seed'}, 'Accession': 'SAMN15648514', 'ID': '15648514'}"
SAMN10588623,"{'title': 'Plant sample from Glycine max', 'Identifiers': {'BioSample': 'SAMN10588623', 'Sample name': '2_S99-11986_ESPS 2011_germinated_rep_2', 'SRA': 'SRS4134057'}, 'Organism': 'Glycine max', 'Attributes': {'cultivar': 'PI 636696 / S99-11986 replicate 2', 'tissue': 'S99-11986_ESPS 2011_germinated_rep_2', 'genotype': 'PI 636696 / S99-11986', 'treatment': 'produced under Early Soybean Production System heat stress in Stoneville, MO 201'}, 'Accession': 'SAMN10588623', 'ID': '10588623'}"
SAMN07685081,"{'title': 'Glycine max Williams 82 Transcriptome - 091-D06 - 1130PM', 'Identifiers': {'BioSample': 'SAMN07685081', 'SRA': 'SRS2839950', 'DOE Joint Genome Institute': 'Gp0239990'}, 'Organism': 'Glycine max', 'Attributes': {'ploidy': 'missing', 'propagation': 'missing', 'cultivar': 'Williams 82', 'host': 'not applicable'}, 'Accession': 'SAMN07685081', 'ID': '7685081'}"
