bioproject,stress,n,part,title,abstract,doi,pmid
PRJNA721706,acid,72,seed: 72,Network Inference of Transcriptional Regulation in Germinating Low Phytic Acid Soybean Seeds,"The low phytic acid trait in soybeans can be conferred by loss-of-function mutations in genes encoding myo-inositol phosphate synthase and two epistatically interacting genes encoding multidrug-resistance protein ABC transporters. However, perturbations in phytic acid biosynthesis are associated with poor seed vigor. Since the benefits of the low phytic acid trait, in terms of end-use quality and sustainability, far outweigh the negatives associated with poor seed performance, a fuller understanding of the molecular basis behind the negatives will assist crop breeders and engineers in producing variates with low phytic acid and better germination rate. The gene regulatory network for developing low and normal phytic acid soybean seeds was previously constructed, with genes modulating a variety of processes pertinent to phytic acid metabolism and seed viability being identified. In this study, a comparative time series analysis of low and normal phytic acid soybeans was carried out to investigate the transcriptional regulatory elements governing the transitional dynamics from dry seed to germinated seed. Gene regulatory networks were reverse engineered from time series transcriptomic data of three distinct genotypic subsets composed of low phytic acid soybean lines and their normal phytic acid sibling lines. Using a robust unsupervised network inference scheme, putative regulatory interactions were inferred for each subset of genotypes. These interactions were further validated by published regulatory interactions found in Arabidopsis thaliana and motif sequence analysis. Results indicate that low phytic acid seeds have increased sensitivity to stress, which could be due to changes in phytic acid levels, disrupted inositol phosphate signaling, disrupted phosphate ion homeostasis, and altered myo-inositol metabolism. Putative regulatory interactions were identified for the latter two processes. Changes in abscisic acid signaling candidate transcription factors putatively regulating genes in this process were identified as well. Analysis of the gene regulatory networks reveal altered regulation in processes that may be affecting the germination of low phytic acid soybean seeds. Therefore, this work contributes to the ongoing effort to elucidate molecular mechanisms underlying altered seed viability, germination and field emergence of low phytic acid crops, understanding of which is necessary in order to mitigate these problems. Overall design: The four genotypic lines used in this study are designated as “MRP,” contains four near isogenic lines, the lpa line “2mlpa” (mrp-l and mrp-n mutations) and three normal phytic acid lines, “2MWT” (no mutation), “2MWT-L” (mrp-n mutation only), and “2MWT-N” (mrp-l mutation only). These lines were developed from a cross between the lpa lines “CX-1834” (mrp-1 and mrp-n mutations) and the normal phytic acid line V99-5089. The mutations conferring the lpa trait in 2mlpa and CX-1834 are the result of point mutations in the epistatically interacting loci, MRP-L and MRP-N, on chromosomes 19 and 3, respectively (Wilcox et al., 2000; Walker et al., 2006; Maroof et al., 2009). In the associated manuscript, eight experimental lines were used – 1mlpa, 1MWT, 2mlpa, 2MWT, 2MWT-L, 2MWT-N, 3mlpa, and 3MWT.  The eight experimental lines represent three distinct subsets of genotypes and data from four lines are included in this dataset. Other four lines have been released from our previous publication (data in GSE101692). Line mips1/mrp-l/mrp-n is also called 3mlpa which contains mips1, mrp-1, and mrp-n mutations and has low phytic acid content. The normal phytic acid line MIPS1/MRP-L/MRP-N (no mutation) is also called 3MWT. These lines were developed from a cross between CX-1834 and V99-5089. These files also include the lpa line 1mlpa (mips1 mutation) and the normal phytic acid line 1MWT (no mutation). These lines are isogenic and were developed from a cross between the normal phytic acid line Essex (no MIPS1 mutation) and the lpa line V99-5089 (mips1 mutation).",10.3389/fpls.2021.708286,34531883
PRJNA812620,aluminum,6,root: 6,Glycine max Transcriptome or Gene expression,Transcriptome analysis of root tip tissue of wild-type and overexpressed soybean under different aluminum treatments.,,
PRJNA833532,aluminum,12,root: 12,Glycine max Raw sequence reads,soybean aluminum stress,,
PRJDB9752,bacteria,9,root: 9,Rhizobium used a pathogenic like-effector to hijack leguminous nodulation signalling,"To clarify the Nod-factor independent nodulation signaling by the T3SS effector Bel2-5, RNA sequence analysis was performed using soybean En1282 (nfr1-mutant) roots inoculated with Bradyrhizobium elkanii USDA61 (wild-type) and bel2-5  mutant strains (deletion mutant of T3SS effector).",,
PRJNA396797,bacteria,4,root: 4,Transient Nod factor-dependent gene expression in the nodulation-competent zone of soybean (Glycine max [L.] Merr.) roots,Soybean root (Zone of nodulation (ZON)) transcriptome in response to inoculation with wild-type (CB1809) or Nod factor deficient (nodC-) Bradyrhizobium japonicum.,,
PRJNA824616,bacteria,9,shoot: 9,Sequencing of Bacillus amyloliquefacie and Sclerotinia sclerotiorum during Sclerotinia sclerotiorum Infecting soybean seedlings,Dual RNA sequencing analysis of Bacillus amyloliquefacie and Sclerotinia sclerotiorum during Sclerotinia sclerotiorum Infecting soybean seedlings unveils Antagonistic Interactions,,
PRJNA728527,cadmium,8,root: 8,Glycine max Transcriptome or Gene expression,"Cadmium (Cd) is a toxic heavy metal for organisms. It can accumulate in plants and transmit to human bodies via food chain. Soybean supplies us with protein and oil, and is of great economic value worldwide. Cd poses a serious threat to soybean develop-ment, especially for root growth. Some soybean cultivars represent resistant symptoms to Cd-induced root inhibition under Cd stress, however, the genes and potential mechanisms are not fully understood. We optimized RNA-seq to identify the differentially expressed genes (DEGs) in Cd sensitive (KUAI) and tolerant (KAIYU) soybean roots, and compared the DEGs involved in root resistance to Cd stress.",,
PRJNA692571,cadmium,12,root: 12,The role of soybean under the poison of cadmium ion,"Liaodou 10 under CK anf Cd treated, Shendou20 under CK and Cd treated.",,
PRJNA305219,calcium,1,seedling: 1,Glycine max Raw sequence reads,"Supplemental Ca2+ could increase soybean sprout yield and improve its nutrition qualities. Ca2+-treated sprouts had higher yield than water-treated ones. Metabolism of selected anti-nutritional factors and bioactive substances in soybean sprouts was strengthened by Ca2+. To investigate the role of Ca2+ in soybean during germination, transcriptome changes were analyzed. Total RNA from soybean sprouts that treated with deionized water or with 6 mM Ca2+ were analyzed.",,
PRJNA719628,calcium,24,hypocotyl: 24,Calcium positively mediate blue light-induced anthocyanins accumulation in soybean sprouts,It will help growers produce high-quality foods that are beneficial to human health.,,
PRJDB8696,chitin,9,whole plant: 9,Transcriptome analysis of chitin-treated soybeans (Glycine max),"Chitin, an N-acetyl-D-glucosamine polymer, is a component of fungal cell walls and arthropod exoskeletons. This polymer can be used used as a fertilizer or soil amendment to enhance crop growth. However, the polymeric chitin is difficult to handle due to its insolubility in water. We recently developed chitin nanofiber (CNF), which has a highly uniform structure of 10-20 nm thickness and shows high dispersing ability in water. In this study, the transcriptome analysis by RNA-seq was conducted to elucidate global changes in gene expression in shoots and roots of CNF-treated soybeans (Glycine max).",,
PRJNA373614,cold,1,root: 1,Gene expression profiling of Glycine max William 82 - GmLowT-a,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C),,
PRJNA373615,cold,1,root: 1,Gene expression profiling of Glycine max William 82 - GmLowT-b,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C),,
PRJNA373616,cold,1,root: 1,Gene expression profiling of Glycine max William 82 - GmLowT-c,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C),,
PRJNA373649,cold,1,root: 1,Gene expression profiling of Glycine max William 82 - GmLowT-d,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C),,
PRJNA373653,cold,1,root: 1,Gene expression profiling of Glycine max William 82 - GmLowT-f,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under low temperature (15C),,
PRJNA725380,cold,24,cotyledon: 8 | root: 8 | shoot: 8,Cold stress induced miRNA and degradome changes in soybean,"Chilling stress is one of the most important factors limiting soybean yield in the temperate climate. To determine the involvement of microRNAs (miRNAs) and their target genes in the chilling resistance of four soybean cultivars (Augusta, Fiskeby V, Toyomusume, and Glycine soja) small RNA and degradome libraries were prepared.",,
PRJNA250761,control,1,unknown: 1,Glycine max strain:williams82 Transcriptome or Gene expression,JGI Flagship Plant Gene Atlas,,
PRJNA251047,control,1,unknown: 1,Glycine max strain:Williams 82 Transcriptome or Gene expression,JGI Flagship Plant Gene Atlas,,
PRJNA271453,control,3,leaf: 2 | root: 1,Glycine max Transcriptome or Gene expression,Transcriptome sequencing of Glycine max C08,,
PRJNA271506,control,2,flower: 2,Glycine max Transcriptome or Gene expression,soybean Transcriptome or Gene expression,,
PRJNA339653,control,4,leaf: 4,Glycine max Raw sequence reads,RNA-seq of soybean accessions,,
PRJNA372408,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Stem - 039-F07,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372409,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Stem - 039-F08,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372493,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Lateral Root - 039-E07,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372494,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Lateral Root - 039-E08,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372495,control,1,leaf: 1,Gene expression analysis of Glycine max williams82 - Leaf - 039-F03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372496,control,1,leaf: 1,Gene expression analysis of Glycine max williams82 - Leaf - 039-F04,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372497,control,1,leaf: 1,Gene expression analysis of Glycine max williams82 - Leaf - 039-F05,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372498,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Root - 039-E03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372499,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Root - 039-E04,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372500,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Root - 039-E05,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372501,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Roottip - 039-E09,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372502,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Roottip - 039-F01,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372503,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Roottip - 039-F02,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372504,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372505,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B04,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372506,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B05,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372507,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B06,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372508,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B07,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372509,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B08,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372510,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-B09,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372511,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C01,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372512,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C02,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372513,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372514,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C04,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372515,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C05,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372516,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C06,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372517,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C07,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372518,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C08,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372519,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-C09,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372520,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D01,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372522,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372523,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D04,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372524,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D05,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372526,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D07,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372529,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-E01,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372530,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-E02,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372531,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Shoot tip - 039-F09,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372532,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Shoot tip - 039-G01,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372533,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Shoot tip - 039-G02,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA372534,control,1,shoot: 1,Gene expression analysis of Glycine max williams82 - Stem - 039-F06,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373195,control,1,root: 1,Gene expression analysis of Glycine max williams82 - Lateral Root - 039-E06,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373279,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D02,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373280,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D06,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373281,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D08,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373282,control,1,seed: 1,Gene expression analysis of Glycine max williams82 - Seed - 039-D09,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA373608,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCO2-a,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells root hair cells under high CO2 (800ppm),,
PRJNA373609,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCO2-b,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high CO2 (800ppm),,
PRJNA373610,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCO2-c,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells under high CO2 (800ppm),,
PRJNA373617,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-1a,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373618,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-1b,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373619,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-1c,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373644,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-2a,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373645,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-2b,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373646,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-2c,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA373652,control,1,root: 1,Gene expression profiling of Glycine max William 82 - GmCtrl-2d,Gene expression profiling of Soybean (Glycine Max cv. William 82) root hair cells control,,
PRJNA409455,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-G06 - 1130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409457,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-F06 - 330AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409458,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-G04 - 930AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409459,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-E06 - 130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409460,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-F04 - 730AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409462,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-H09 - 130PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409463,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-H05 - 1130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409464,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-F01 - 730AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409465,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-F08 - 930AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409466,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A01 - 330PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409467,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-I04 - 130PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409469,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-F05 - 730AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409470,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A06 - 530PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409471,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-H01 - 1130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409472,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-G07 - 1130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409473,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A05 - 330PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409474,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-F07 - 330AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409476,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-E07 - 130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409477,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-I05 - 130PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409478,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-G02 - 930AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409479,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-B06 - 730PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409480,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-I01 - 130PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409481,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-E05 - 1130PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409483,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-C06 - 930PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409484,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A02 - 330PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409485,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-D03 - 930PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409486,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-E08 - 130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409487,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-C03 - 730PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409488,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A07 - 530PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409490,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 090-G08 - 1130AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409491,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-B03 - 530PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409492,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-F08 - 330AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409493,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-C07 - 930PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409494,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-A09 - 530PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409495,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-G03 - 330AM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409496,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-C09 - 930PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
PRJNA409497,control,1,unknown: 1,Glycine max Williams 82 Transcriptome - 091-B07 - 730PM,Glycine max Williams 82 RNA sequencing as part of JGI Flagship Plant Gene Atlas project,,
