bioproject,name,title,description,doi,abstract
PRJNA910939,Northeast Agricultural University,547 soybean accessions resequencing data,"Resequencing data of 547 soybean accessions, these were mainly originated from northeast part of China.",10.1111/pbi.14222,"Soybean is one of the most economically important crops worldwide and an important source of unsaturated fatty acids and protein for the human diet. Consumer demand for healthy fats and oils is increasing, and the global demand for vegetable oil is expected to double by 2050. Identification of key genes that regulate seed fatty acid content can facilitate molecular breeding of high-quality soybean varieties with enhanced fatty acid profiles. Here, we analysed the genetic architecture underlying variations in soybean seed fatty acid content using 547 accessions, including mainly landraces and cultivars from northeastern China. Through fatty acid profiling, genome re-sequencing, population genomics analyses, and GWAS, we identified a SEIPIN homologue at the FA9 locus as an important contributor to seed fatty acid content. Transgenic and multiomics analyses confirmed that FA9 was a key regulator of seed fatty acid content with pleiotropic effects on seed protein and seed size. We identified two major FA9 haplotypes in 1295 resequenced soybean accessions and assessed their phenotypic effects in a field planting of 424 accessions. Soybean accessions carrying FA9<sup>H2</sup> had significantly higher total fatty acid contents and lower protein contents than those carrying FA9<sup>H1</sup> . FA9<sup>H2</sup> was absent in wild soybeans but present in 13% of landraces and 26% of cultivars, suggesting that it may have been selected during soybean post-domestication improvement. FA9 therefore represents a useful genetic resource for molecular breeding of high-quality soybean varieties with specific seed storage profiles."
PRJNA674706,Glycine max cultivar:Wm 82,Raw sequence reads of RNA-seq in Glycine max,Researchers should communicate with the provider (cjdxguozilong@163.com) in advance to get authorization for downloading and using the data.,,
PRJNA482870,Network Landscape of Photothermal Flowering in Soybean.,Network Landscape of Photothermal Flowering in Soybean.,The project aims at elucidation of global gene expression patterns underlying photothermal flowering of soybean to clarify the molecular mechanisms of photothermal flowering in soybean. Overall design: RNA-sequencing was conducted using five soybean varieties under different photoperiod and ambient temperature conditions.,,
PRJNA757744,"Host and pathogen gene expression during early infection of soybean seedlings by Phytophthora sojae, analyzed by ABI Solid RNA sequencing","Host and pathogen gene expression during early infection of soybean seedlings by Phytophthora sojae, analyzed by ABI Solid RNA sequencing","Hypocotyls of soybean (Glycine max) seedlings of cultivar Williams were inoculated with mycelia of the oomycete pathogen Phytophthora sojae grown in liquid V8 medium or the hypocotyls were mock inoculated. After 12 hours, the sites of inoculation were excised from the hypocotyls and frozen for RNA extraction. Phytophthora sojae mycelia used for inoculation was saved for RNA extraction also Overall design: Four replicate experiments were conducted. Each replicate consisted of 30 P. sojae-inoculated or mock-inoculated hypocotyls, as well as a sample of the P. sojae mycelia used for the 30 inoculations",34691104,"<i>Phytophthora sojae</i> is an oomycete that causes stem and root rot disease in soybean. <i>P. sojae</i> delivers many RxLR effector proteins, including Avr1b, into host cells to promote infection. We show here that Avr1b interacts with the soybean U-box protein, GmPUB1-1, in yeast two-hybrid, pull down, and bimolecular fluorescence complementation (BIFC) assays. <i>GmPUB1-1</i>, and a homeologous copy <i>GmPUB1-2</i>, are induced by infection and encode 403 amino acid proteins with U-Box domains at their N-termini. Non-synonymous mutations in the Avr1b C-terminus that abolish suppression of cell death also abolished the interaction of Avr1b with GmPUB1-1, while deletion of the GmPUB1-1 C-terminus, but not the U box, abolished the interaction. BIFC experiments suggested that the GmPUB1-1-Avr1b complex is targeted to the nucleus. <i>In vitro</i> ubiquitination assays demonstrated that GmPUB1-1 possesses E3 ligase activity. Silencing of the <i>GmPUB1</i> genes in soybean cotyledons resulted in loss of recognition of Avr1b by gene products encoded by <i>Rps1</i>-b and <i>Rps1</i>-k. The recognition of Avr1k (which did not interact with GmPUB1-1) by <i>Rps1</i>-k plants was not, however, affected following <i>GmPUB1</i>-<i>1</i> silencing. Furthermore, over-expression of GmPUB1-1 in particle bombardment experiments triggered cell death suggesting that GmPUB1 may be a positive regulator of effector-triggered immunity. In a yeast two-hybrid system, GmPUB1-1 also interacted with a number of other RxLR effectors including Avr1d, while Avr1b and Avr1d interacted with a number of other infection-induced GmPUB proteins, suggesting that the pathogen uses a multiplex of interactions of RxLR effectors with GmPUB proteins to modulate host immunity."
PRJNA731151,Glycine max,Identification of plant viruses in soybean by metagenomic sequencing,"Viruses negatively impact soybean production by causing disease that affect yield and seed quality. Newly emerging or re-emerging viruses can also threaten soybean production, because current control measures may not be effective against them. Furthermore, detection and characterization of new plant viruses requires major efforts when no sequence or antibody-based resources are available. In this study, soybean fields were scouted for virus-like disease symptoms during 2018 and 2019 growing seasons. Total RNA was extracted from symptomatic soybean tissues collected individually. cDNA libraries were prepared and RNA sequencing was performed using next-generation sequencing (NGS) Illumina HiSeq3000 (Illumina, https://www.illumina.com/) to generate paired-end reads (HiSeq: 2 * 150 bp, 2 lanes). After removal of soybean reads, the short-reads were de novo assembled using the Trinity assembler. Through metagenomics approaches, several viruses were detected and identified as single or mixed infections in soybean. De novo assemblies generated full- or nearly full-length genomes in soybean. Taken together, the results of this study showed that NGS-based technology is a valuable diagnostic tool for the identification of several viruses in field-grown soybean, and can provide rapid information about plant viruses that were previously not detected in soybean fields.",36100874,
PRJNA635449,Institute of Crop Science,Transcriptomal dissection of universal circadian rhythm in two soybean cultivars with different J/GmELF3 alleles,To analyze the circadian rhythm of gene expression in two soybean cultivars with different J/GmELF3 alleles,,
PRJNA432760,Glycine max,Glycine max Genome sequencing,"On the basis of whole genome methylome data of 45 soybean accessions, we detected the DNA methylation selection regions during soybean domestication and improvement. Combing the re-sequence, smRNA-seq, RNA-seq datasets for the same accessions, we further dissected the relationship between DNA methylation selection regions and genetic variations.",,
PRJNA751136,Yan'an University,Transcriptomic analyis reveals GSH-deficiency of G.max impaired development of Heterodera glycines,"The development of Heterodera glycines(SCN, soybean cyst nematode) were affected G.max under GSH-deficiency condition. For understanding the mechanism of low content of GSH could inhibitor the development of SCN, the transcriptome analysis were performed. Three time-points(5,10, and 15day post infection) were examined and sequencing vis NGS.",,
PRJNA531615,"Treanscriptomes of emering nodules, mature nodules, emerging lateral roots, and young lateral roots in soybean","Treanscriptomes of emering nodules, mature nodules, emerging lateral roots, and young lateral roots in soybean","Symbiotic legume nodules and lateral roots arise away from the root meristem via dedifferentiation events. While these organs share some morphological and developmental similarities, whether legume nodules are modified lateral roots is an open question. We dissected emerging nodules (EN), mature nodules (MN), emerging lateral roots (ELR) and young lateral roots (YLR), and constructed strand-specific RNAseq libraries using polyA-enriched RNA preparations. Root sections above and below these organs devoid of any lateral organs were used to construct respective control tissue libraries (ABEN, ABMN, ABELR, ABYLR respectively). High sequence quality, predominant mapping to coding sequences, and consistency between replicates indicated that the RNAseq libraries were of very high quality. We identified genes enriched in emerging nodules, mature nodules, emerging lateral roots and young lateral roots in soybean by comparing global gene expression profiles between each of these organs and adjacent root segments. Potential uses for this high quality transcriptome data set include generation of global gene regulatory networks to identify key regulators; metabolic pathway analyses and comparative analysis of key gene families to discover organ-specific biological processes; and identification of organ-specific alternate spliced transcripts. When combined with other similar datasets especially from leguminous plants these analyses can help answer questions on the evolutionary origins of root nodules and relationships between the development of different plant lateral organs. Overall design: Three replicate samples were harvested for each of the eight tissue types for the preparation of twenty four RNAseq libraries.",,
PRJNA506905,Genes induced by senescence in soybean,Genes induced by senescence in soybean,Comparison between two vegetative stages of the soybean cultivar BR16: 20 and 80 days after germination (DAG) Overall design: Examination of 2 vegetative stages: 20 and 80 DAGs,30619426,"The <i>NAC</i> (NAM, ATAF, and CUC) genes encode transcription factors involved with the control of plant morph-physiology and stress responses. The release of the last soybean <i>(Glycine max)</i> genome assembly (Wm82.a2.v1) raised the possibility that new NAC genes would be present in the soybean genome. Here, we interrogated the last version of the soybean genome against a conserved NAC domain structure. Our analysis identified 32 putative novel NAC genes, updating the superfamily to 180 gene members. We also organized the genes in 15 phylogenetic subfamilies, which showed a perfect correlation among sequence conservation, expression profile, and function of orthologous <i>Arabidopsis thaliana</i> genes and NAC soybean genes. To validate our <i>in silico</i> analyses, we monitored the stress-mediated gene expression profiles of eight new NAC-genes by qRT-PCR and monitored the GmNAC senescence-associated genes by RNA-seq. Among ER stress, osmotic stress and salicylic acid treatment, all the novel tested GmNAC genes responded to at least one type of stress, displaying a complex expression profile under different kinetics and extension of the response. Furthermore, we showed that 40% of the GmNACs were differentially regulated by natural leaf senescence, including eight (8) newly identified GmNACs. The developmental and stress-responsive expression profiles of the novel NAC genes fitted perfectly with their phylogenetic subfamily. Finally, we examined two uncharacterized senescence-associated proteins, GmNAC065 and GmNAC085, and a novel, previously unidentified, NAC protein, GmNAC177, and showed that they are nuclear localized, and except for GmNAC065, they display transactivation activity in yeast. Consistent with a role in leaf senescence, transient expression of GmNAC065 and GmNAC085 induces the appearance of hallmarks of leaf senescence, including chlorophyll loss, leaf yellowing, lipid peroxidation and accumulation of H<sub>2</sub>O<sub>2</sub>. GmNAC177 was clustered to an uncharacterized subfamily but in close proximity to the TIP subfamily. Accordingly, it was rapidly induced by ER stress and by salicylic acid under late kinetic response and promoted cell death <i>in planta</i>. Collectively, our data further substantiated the notion that the GmNAC genes display functional and expression profiles consistent with their phylogenetic relatedness and established a complete framework of the soybean NAC superfamily as a foundation for future analyses."
PRJNA800609,Zhejiang Academy of Agricultural Sciences,transcriptomics analysis of soybean in response to Colletotrichum truncatum infection,"To explore the molecular mechanisms of resistance in the soybean to anthracnosea, a transcriptomic analysis of pods from two soybean lines, Zhechun No. 3 and ZC-2, in response to Colletotrichum truncatum infection was conducted.",,
PRJNA706999,Glycine max,Comparing early transcriptomic responses of 18 soybean (Glycine max) genotypes to iron stress,"Iron deficiency chlorosis (IDC) is an abiotic stress that negatively affects soybean (Glycine max [L.] Merr.) production. Much of our knowledge of IDC stress responses is derived from model plant species. Gene expression, quantitative trait loci (QTL) mapping, and genome-wide association studies (GWAS) performed in soybean suggest that stress response differences exist between model and crop species. Our current understanding of the molecular response to IDC in soybeans is largely derived from gene expression studies using near-isogenic lines differing in iron efficiency. To improve iron efficiency in soybeans and other crops, we need to expand gene expression studies to include the diversity present in germplasm collections. Therefore, we collected 216 purified RNA samples (18 genotypes, two tissue types [leaves and roots], two iron treatments [sufficient and deficient], three replicates) and used RNA sequencing to examine the expression differences of 18 diverse soybean genotypes in response to iron deficiency. We found a rapid response to iron deficiency across genotypes, most responding within 60 min of stress. There was little evidence of an overlap of specific differentially expressed genes, and comparisons of gene ontology terms and transcription factor families suggest the utilization of different pathways in the stress response. These initial findings suggest an untapped genetic potential within the soybean germplasm collection that could be used for the continued improvement of iron efficiency in soybean.",10.3390/ijms222111643,"Iron deficiency chlorosis (IDC) is an abiotic stress that negatively affects soybean (<i>Glycine max</i> [L.] Merr.) production. Much of our knowledge of IDC stress responses is derived from model plant species. Gene expression, quantitative trait loci (QTL) mapping, and genome-wide association studies (GWAS) performed in soybean suggest that stress response differences exist between model and crop species. Our current understanding of the molecular response to IDC in soybeans is largely derived from gene expression studies using near-isogenic lines differing in iron efficiency. To improve iron efficiency in soybeans and other crops, we need to expand gene expression studies to include the diversity present in germplasm collections. Therefore, we collected 216 purified RNA samples (18 genotypes, two tissue types [leaves and roots], two iron treatments [sufficient and deficient], three replicates) and used RNA sequencing to examine the expression differences of 18 diverse soybean genotypes in response to iron deficiency. We found a rapid response to iron deficiency across genotypes, most responding within 60 min of stress. There was little evidence of an overlap of specific differentially expressed genes, and comparisons of gene ontology terms and transcription factor families suggest the utilization of different pathways in the stress response. These initial findings suggest an untapped genetic potential within the soybean germplasm collection that could be used for the continued improvement of iron efficiency in soybean."
PRJNA250761,Glycine max strain:williams82,Glycine max strain:williams82 Transcriptome or Gene expression,&lt;p&gt;JGI Flagship Plant Gene Atlas&lt;/p&gt;,,
PRJNA832118,Glycine max,Glycine max Transcriptome or Gene expression,Transgenic GmFT3a soybean,,
PRJNA1016048,Glycine max,Glycine max Raw sequence reads,transcriptome,,
PRJNA628842,Glycine max,Glycine max Transcriptome or Gene expression,soybean drought transcriptome,,
PRJNA591095,Nanjing Agricultural University,wwwww,sdsdasdada,,
PRJNA801060,Glycine max,Glycine max Raw sequence reads,normal RNA-Seq of soybean seeds,,
PRJNA982425,Glycine max,Glycine max Raw sequence reads,Transcriptome of soybean leaves,,
PRJNA544432,Glyceollin transcription factor GmMYB29A2 is a regulator of soybean resistance to Phytophthora sojae,Glyceollin transcription factor GmMYB29A2 is a regulator of soybean resistance to Phytophthora sojae,"RNA-seq was conducted on hairy roots of Williams 82 (W82) and imbibing seeds of Harosoy 63 (H63) upon treatment with the P. sojae wall glucan elicitor (WGE) at the times of maximum glyceollin biosynthesis. Overall design: Imbibed seeds of H63 and Hairy roots of W82 were treated with WGE or H2O (mock) and at the time of maximum glyceollin accumulation after treatment (48 h and 24 h, respectively), total RNA was extracted for RNA-seq. WGE samples were compared to the mock to identify upregulated genes, then these were searched for common genes among the two tissue types.",32209590,"Glyceollin isomers I, II, and III are the major pathogen-elicited secondary metabolites (i.e. phytoalexins) of soybean (<i>Glycine max</i>) that, collectively with other 5-deoxyisoflavonoids, provide race-specific resistance to <i>Phytophthora sojae.</i> The NAC-family transcription factor (TF) GmNAC42-1 is an essential regulator of some but not all glyceollin biosynthesis genes, indicating other essential TF(s) of the glyceollin gene regulatory network remain to be identified. Here, we conducted comparative transcriptomics on soybean hairy roots of the variety Williams 82 and imbibing seeds of Harosoy 63 upon treatment with wall glucan elicitor from <i>P. sojae</i> and identified two homologous R2R3-type MYB TF genes, <i>GmMYB29A1</i> and <i>GmMYB29A2</i>, up-regulated during the times of peak glyceollin biosynthesis. Overexpression and RNA interference silencing of <i>GmMYB29A2</i> increased and decreased expression of <i>GmNAC42-1</i>, <i>GmMYB29A1</i>, and glyceollin biosynthesis genes and metabolites, respectively, in response to wall glucan elicitor. By contrast, overexpressing or silencing <i>GmMYB29A1</i> decreased glyceollin I accumulation with marginal or no effects on the expressions of glyceollin synthesis genes, suggesting a preferential role in promoting glyceollin turnover and/or competing biosynthetic pathways. GmMYB29A2 interacted with the promoters of two glyceollin I biosynthesis genes in vitro and in vivo. Silencing <i>GmMYB29A2</i> in Williams 82, a soybean variety that encodes the resistance gene <i>Rps1k</i>, rendered it compatible with race 1 <i>P. sojae</i>, whereas overexpressing <i>GmMYB29A2</i> rendered the susceptible Williams variety incompatible. Compatibility and incompatibility coincided with reduced and enhanced accumulations of glyceollin I but not other 5-deoxyisoflavonoids. Thus, <i>GmMYB29A2</i> is essential for accumulation of glyceollin I and expression of <i>Phytophthora</i> resistance."
PRJNA892245,Glycine max,Glycine max Transcriptome or Gene expression,"We purpose to reveals transcriptional adaptation under high night temperature during the soybean seed filling stage, and may identify a mechanism of selection by the expression for seed yield formation, providing strategies for future breeding practice, and lays a foundation for formulating crop management strategies under future climate change scenarios.",,
PRJNA140079,Glycine max,Transcript Profiling of Soybean Seed Compartments Using Laser Capture Microdissection Coupled With RNA-Seq,We used laser capture microdissection (LCM) to capture soybean seed compartments and profiled the transcriptomes of several compartments using next-generation sequencing. We profiled the transcriptomes of the embryo-proper and the suspensor region from globular stage embryos and the seed coat parenchyma layer of early maturation stage seeds using the Illumina GAIIx system. Overall design: Illumina sequencing of transcripts from laser-captured embryo proper and suspensor of globular stage embryo and seed coat parenchyma layer of the early maturation stage seed.,,
PRJNA579241,Glycine max cultivar:Pingliang xiaoheidou; Magellan,Glycine max cultivar:Pingliang xiaoheidou; Magellan Raw sequence reads,"Based on RNA-Seq analysis and KASPar assay, important candidate genes were predicted in the qSCN10 locus, and plant-based immunity was suggested to participate in the SCN resistance of Pingliang xiaoheidou",,
PRJNA675850,Michigan State University,"Transcriptomes of imbibed and dry soybean embryonic axes stored for 3, 19, and 22 years","We looked for differences in the transcriptomes of imbibing soybean axes that were either recently harvested and expected to germinate, or aged in dry storage and expected to not germinate. It is unclear what of the many changes that occur in seeds in the dry state might be responsible for the loss of germination capacity. Since we previously found the dry transcriptomes in fresh and aged seeds were not significantly different, we decided to see whether different metabolic pathways get activated in aged seeds upon imbibiition.",,
PRJNA862748,"Gossypium hirsutum, Sesame indicum, Brassica napus, Glycine max","Transcriptomes of four oil crops (G. hirsutum, G. max, B. napus, S. indicum)","RNA-seq of four oil crops sesame, rape, cotton and soybean ovules at different developmental stages (0, 10, 20, 30, 40 DPA), to provide insights into the genetic networks regulating oil differential production in oil crops",10.1186/s12915-024-01909-x,
PRJNA543137,Glycine max,Glycine max Genome Sequencing Using RNA Seq,A population of 72 soybean accessions with varying germination rates was sequenced using RNA Seq. Single nucleotide polymorphisms (SNPs) were detected with a focus placed on those associated with deleterious changes for the purpose of inferring genetic variability.,,
PRJNA372498,Glycine max cultivar:williams82,Gene expression analysis of Glycine max williams82 - Root - 039-E03,Transcriptome sequencing as part of the JGI Flagship Plant Gene Atlas Inititative,,
PRJNA996630,Combined phenotypic and transcriptomic analysis of soybean plants subjected to multifactorial stress combination,Combined phenotypic and transcriptomic analysis of soybean plants subjected to multifactorial stress combination,"Soybean plants were subjected to a multifactorial stress combination of up to five different stresses (water deficit, salinity, low phosphate, acidity, and cadmium), in an increasing level of complexity. All stresses were applied at the beginning of the experiment except for water deficit stress that was imposed after 21 days. Leaves and flowers were collected from 5-7 different plants under the mentioned stress conditions and after 10 days of starting water deficit conditions. Differential gene expression compared to control was studied using RNAseq method for all the possible stress combinations. Overall design: Tissues from soybean plants (31 days old) subjected to water deficit, salinity, low phosphate, acidity, and cadmium alone or in combination of 2, 3, 4 and 5 stresses were collected in liquid nitrogen. Total RNA was isolated and mRNA profile was generated by deep sequencing using NovaSeq 6000 PE150.",,
PRJNA246314,Glycine max,Gene Expression Changes in the Development of the Soybean Seed-Heart Stage,"We investigated soybean seed development because (1) soybean seeds are a major source of food and fuel, (2) soybean seeds have been an excellent system for studying the basic processes controlling seed development for over three decades, and (3) new soybean genomic resources, including the sequence of the soybean genome and the gene expression profiles for all seed compartments, tissues, and cell types, can be used to gain new insights into the regulatory processes required for seed differentiation. We sequenced messenger RNA populations of specific soybean seed compartments, which will provide new insights into gene expression that are important for “making a soybean seed.” Overall design: Eight compartments of the heart stage of the soybean seeds were analyzed. Three biological replicates were collected for each compartment.",,
PRJNA895173,Anhui Academy of Agricultural Sciences,RNA-seq of cytoplasmic male sterile line W931A and maintainer line W931B in soybean,The molecular mechanism of cytoplasmic male sterility in soybean was expounded by sequencing the transcriptome of W931A and W931B anthers.,,
PRJNA428294,rice soybean and silkworm,rice soybean and silkworm Raw sequence reads,Transcriptome data of rice soybean and silkworm,,
PRJNA489367,Glycine max,Glycine max Raw sequence reads,Glycine max circRNAs sequence reads,30208848,
PRJNA730888,Glycine max,Identification of plant viruses in soybean by metagenomic sequencing,"Viruses negatively impact soybean production by causing disease that affect yield and seed quality. Newly emerging or re-emerging viruses can also threaten soybean production, because current control measures may not be effective against them. Furthermore, detection and characterization of new plant viruses requires major efforts when no sequence or antibody-based resources are available. In this study, soybean fields were scouted for virus-like disease symptoms during 2016 growing season. Total RNA was extracted from symptomatic soybean tissues collected individually. cDNA libraries were prepared and RNA sequencing was performed using next-generation sequencing (NGS) Illumina HiSeq3000 (Illumina, https://www.illumina.com/) to generate paired-end reads (HiSeq: 2 * 150 bp, 2 lanes). After removal of soybean reads, the short-reads were de novo assembled using the Trinity assembler. Through metagenomics approaches, several viruses were detected and identified as single or mixed infections in soybean. De novo assemblies generated full- or nearly full-length genomes in soybean. Taken together, the results of this study showed that NGS-based technology is a valuable diagnostic tool for the identification of several viruses in field-grown soybean, and can provide rapid information about plant viruses that were previously not detected in soybean fields.",36100874,
PRJNA877111,Ningbo University,RNA-seq of soybean overexpressing GmFT2a infected with Riptortus pedestris,Transcriptomics analysis of soybean overexpressing GmFT2a in response to Riptortus pedestris infestation.,,
PRJNA647268,Glycine max isolate:A7-2 | cultivar:Glycine max,Glycine max isolate | cultivar:Glycine max Raw sequence reads,"To reveal the possible causes of the nutrients difference in soybeans A7 (containing low oil and high protein) and A35 (containing high oil and low protein), RNA-seq technology was performed to compare and identify the potential differential expressed genes (DEGs) at different seed developmental stages.",,
