biosample,acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,random
SAMN32153764,SRR22763570,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18724145,JL129,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16165335,Glycine max,SRP412906,2023-10-10,PRJNA910939,2956.0,,300.0,7999.0,,seed355,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, run.zq, sra]","[s3, gs, ncbi]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.998896021124333
SAMN16674315,SRR13154182,RNA-Seq,FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY,public,SRX9594361,s5CK-R-5,Illumina NovaSeq 6000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS7798746,Glycine max,SRP294406,2021-12-31,PRJNA674706,2340.0,,300.0,7070.0,,s5CK-R-5,[Plant],,uncalculated,uncalculated,[not applicable],,,,"[sra, fastq, run.zq]","[ncbi, s3, gs]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.998689690550945
SAMN09716561,SRR7593716,RNA-Seq,GEO,public,SRX4458712,GSM3306924,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3596250,Glycine max,SRP155262,2021-07-26,PRJNA482870,878.0,,100.0,2688.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998597704138984
SAMN20971795,SRR15610897,RNA-Seq,GEO,public,SRX11908210,GSM5536786,AB SOLiD System 3.0,PAIRED,cDNA,TRANSCRIPTOMIC,ABI_SOLID,SRS9919101,Glycine max,SRP334103,2021-12-07,PRJNA757744,776.0,,54.0,721.0,,,,,,,,,,,"[fastq, sra]","[s3, ncbi, gs]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998594166863628
SAMN19271397,SRR14615427,RNA-Seq,IOWA STATE UNIVERSITY,public,SRX10957272,37_S37,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS9035542,Glycine max,SRP320876,2021-06-30,PRJNA731151,952.0,,300.0,2576.0,,37_S37,[Plant],,USA,North America,[USA: Iowa-37-S37],,,,"[run.zq, sra, fastq]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998513946825983
SAMN09513490,SRR7447702,RNA-Seq,THE OHIO STATE UNIVERSITY,public,SRX4318317,SL209541,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3480900,Glycine max,SRP151542,2019-07-25,PRJNA478334,316.0,,200.0,961.0,,SL209541,[Plant],,USA,North America,[USA: Ohio],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998495275434014
SAMN32153892,SRR22890643,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18848523,JL274,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16279907,Glycine max,SRP412906,2023-10-10,PRJNA910939,2619.0,,300.0,7165.0,,seed483,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.998478359444547
SAMN15041198,SRR11859294,RNA-Seq,INSTITUTE OF CROP SCIENCE,public,SRX8409370,ZH24-60-1,Illumina HiSeq 2000,PAIRED,RANDOM,TRANSCRIPTOMIC,ILLUMINA,SRS6721727,Glycine max,SRP265014,2021-06-30,PRJNA635449,4808.0,,300.0,12982.0,,ZH24-60-1,[Plant],,China,Asia,[China],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998377494349979
SAMN08461534,SRR6796780,RNA-Seq,"INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY , CHINESE ACADEMY OF SCIENCE",public,SRX3755691,ACC-082,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS3011466,Glycine max,SRP133798,2018-08-21,PRJNA432760,2085.0,,250.0,6328.0,,ACC-082_RNAseq,[Plant],,China,Asia,[China:NA],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998330016339984
SAMN19663684,SRR15311272,RNA-Seq,YAN'AN UNIVERSITY,public,SRX11615867,soybean root 15d with BSO and SCN,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS9651522,Glycine max,SRP330647,2022-07-01,PRJNA751136,1851.0,,300.0,6568.0,,w82-sample-33,[Plant],,China,Asia,[China:Yan'an],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.998329980291503
SAMN11371513,SRR8868864,RNA-Seq,GEO,public,SRX5655922,GSM3714645,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS4600825,Glycine max,SRP191510,2019-04-11,PRJNA531615,955.0,,47.0,1277.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.998242972456533
SAMN10476541,SRR8241882,RNA-Seq,GEO,public,SRX5060058,GSM3488018,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS4076028,Glycine max,SRP170672,2018-11-28,PRJNA506905,1741.0,,200.0,4246.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997904129935017
SAMN25263533,SRR18047006,RNA-Seq,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,SRX14199342,ZC3-24h-IN-3,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS12019982,Glycine max,SRP360056,2022-02-16,PRJNA800609,1853.0,,300.0,6128.0,,Z54,[Plant],,China,Asia,[China],,,,"[run.zq, sra, fastq]","[s3, ncbi, gs]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.997892284774655
SAMN21359827,SRR16641068,RNA-Seq,USDA,public,SRX12841734,G10_PI90392_Root_Suf_Rep1,Illumina HiSeq 2500,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10167657,Glycine max,SRP336396,2021-11-03,PRJNA706999,1203.0,,150.0,3383.0,,GORS10-1,[Plant],,China,Asia,[China],,,,"[fastq, sra, run.zq]","[gs, s3, ncbi]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.997876103625392
SAMN03003058,SRR3722313,RNA-Seq,JGI,public,SRX1880075,1019869,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS1527082,Glycine max,SRP077295,2016-06-27,PRJNA250761,2047.0,,300.0,3539.0,,SZWG,[MIGS.eu],,uncalculated,uncalculated,[missing],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997709505451956
SAMN27775866,SRR18934815,RNA-Seq,INSTITUTE OF CROP SCIENCES CHINESE ACADEMY OF AGRICULTURAL SCIENCES,public,SRX15012395,V1OEL3,Illumina HiSeq 4000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS12761027,Glycine max,SRP372425,2022-05-04,PRJNA832118,820.0,,294.0,8211.0,,V1OEL3,[Plant],,China,Asia,[China],,,,"[bam, run.zq, sra]","[s3, ncbi, gs]","[s3.us-east-1, gs.us-east1, ncbi.public]",1.0,0.99764428035022
SAMN37387608,SRR26094057,RNA-Seq,"ASBIOS (TIANJIN) BIOTECHNOLOGY CO., LTD.",public,SRX21808709,A531d3_2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS18909536,Glycine max,SRP461459,2023-09-18,PRJNA1016048,2447.0,,300.0,7694.0,,A531d3_2,[Plant],[2023-06-15],China,Asia,[China:Heilongjiang],,,,"[run.zq, sra, fastq]","[s3, ncbi, gs]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997573662662786
SAMN21359678,SRR15899277,RNA-Seq,USDA,public,SRX12189773,G3_PI578366_Leaf_Suf_Rep2,Illumina HiSeq 2500,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10167621,Glycine max,SRP336396,2021-11-03,PRJNA706999,0.0,,126.0,1.0,,GOLS3-2,[Plant],,China,Asia,[China],,,,"[run.zq, sra]","[s3, ncbi, gs]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.997454369058376
SAMN09716036,SRR7593205,RNA-Seq,GEO,public,SRX4458201,GSM3306413,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS3595739,Glycine max,SRP155262,2021-07-26,PRJNA482870,491.0,,100.0,1562.0,,,,,,,,,,,"[run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997420781146318
SAMN14752205,SRR11637600,RNA-Seq,GUANGZHOU UNIVERSITY,public,SRX8201433,WT-rep1,Illumina HiSeq 4000,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS6559563,Glycine max,SRP259012,2021-05-01,PRJNA628842,3868.0,,300.0,12719.0,,WT-rep1,[Plant],,China,Asia,[China:Guangzhou],,,,"[fastq, run.zq, sra]","[gs, s3, ncbi]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.997415096236299
SAMN13175301,SRR10512156,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX7200277,M90-24,Illumina HiSeq 2500,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS5705813,Glycine max,SRP231214,2020-12-02,PRJNA591095,1272.0,,175.0,3735.0,,M90-24_12hCK_Rep1,[Plant],,China,Asia,[China: Shandong],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997301080366176
SAMN25290789,SRR17868236,RNA-Seq,YUNNAN UNIVERSITY,public,SRX14027984,LO30c,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS11864093,Glycine max,SRP358001,2022-02-10,PRJNA801060,2210.0,,298.0,7435.0,,LO30c,[Plant],,China,Asia,[China],,,,"[sra, fastq, run.zq]","[gs, s3, ncbi]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.997266378412572
SAMN35718259,SRR24901464,RNA-Seq,ZHEJIANG GONGSHANG UNIVERSITY,public,SRX20663518,ENR2,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS17960011,Glycine max,SRP442973,2023-06-12,PRJNA982425,2313.0,,302.0,7577.0,,ENR2,[Plant],[2022-11-29],China,Asia,[China],,,,"[sra, fastq, run.zq]","[ncbi, gs, s3]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.997205993055143
SAMN11836274,SRR9113325,RNA-Seq,GEO,public,SRX5887583,GSM3813943,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS4809798,Glycine max,SRP199296,2020-06-10,PRJNA544432,1013.0,,199.0,2458.0,,,,,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997162580184965
SAMN31361600,SRR21996492,RNA-Seq,CHINESE ACADEMY OF AGRICULTURAL SCIENCES,public,SRX17978957,18C-2,Illumina NovaSeq 6000,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,ILLUMINA,SRS15493880,Glycine max,SRP403797,2022-10-20,PRJNA892245,2105.0,,300.0,6782.0,,18C-2,[Plant],,China,Asia,[China:Beijing],,,,"[fastq, sra, run.zq]","[gs, s3, ncbi]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.997086895295667
SAMN00265078,SRR203346,RNA-Seq,GEO,public,SRX062321,GSM721719,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS192963,Glycine max,SRP006766,2011-05-17,PRJNA140079,1211.0,,76.0,2229.0,,GSM721719: Early maturation-stage seed coat parenchyma region,,,,,,,,,"[Illumina_native, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",3.0,0.997084040588791
SAMN13107050,SRR10343485,RNA-Seq,"OIL CROPS RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES",public,SRX7053351,PI(+)2,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS5570179,Glycine max,SRP226904,2019-10-25,PRJNA579241,2591.0,,298.0,6593.0,,PI(+)2,[Plant],,China,Asia,[China:Wuhan],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.997017913386609
SAMN15648070,SRR12328291,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX8828867,a3-5,Illumina HiSeq 2000,SINGLE,other,GENOMIC,ILLUMINA,SRS7093148,Glycine max,SRP273644,2020-08-10,PRJNA648781,0.0,,61166.0,0.0,,P035,[Plant],,China,Asia,[China],,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996979985259837
SAMN16725452,SRR13019155,RNA-Seq,MICHIGAN STATE UNIVERSITY,public,SRX9470054,"24-hour-imbibed axes, 19-year-old seed, associated cotyledons did not green",Illumina HiSeq 2500,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS7680444,Glycine max,SRP292010,2020-11-10,PRJNA675850,527.0,,198.0,1400.0,,24hD1999.01,[Plant],,USA,North America,[USA: Midwest],,,,"[bam, sra, run.zq]","[s3, gs, ncbi]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.996931047696939
SAMN29993489,SRR20725122,RNA-Seq,ZHEJIANG UNIVERSITY,public,SRX16745484,soy-Y1138-10-3,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS14458604,Glycine max,SRP388977,2024-05-23,PRJNA862748,2613.0,,202.0,5959.0,,soy-Y1138-10-3,[Plant],,China,Asia,[China],,,,"[fastq, sra, run.zq]","[gs, ncbi, s3]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.996930421237699
SAMN11807770,SRR9121429,RNA-Seq,AGRICULTURE & AGRI-FOOD CANADA,public,SRX5895410,CN107385_S52,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,ILLUMINA,SRS4816950,Glycine max,SRP199463,2020-06-01,PRJNA543137,839.0,,252.0,2400.0,,CN107385_S52,[Plant],,Canada,North America,[Canada],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996858463348383
SAMN32153454,SRR22823404,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18782877,CX112,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16216839,Glycine max,SRP412906,2023-10-10,PRJNA910939,2251.0,,300.0,5974.0,,seed45,[Plant],,China,Asia,[China:Heilongjiang],,,,"[fastq, sra, run.zq]","[gs, s3, ncbi]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.996789505888013
SAMN32153472,SRR22823384,RNA-Seq,NORTHEAST AGRICULTURAL UNIVERSITY,public,SRX18782897,CX132,Illumina NovaSeq 6000,PAIRED,Oligo-dT,TRANSCRIPTOMIC,ILLUMINA,SRS16216860,Glycine max,SRP412906,2023-10-10,PRJNA910939,2339.0,,300.0,6013.0,,seed63,[Plant],,China,Asia,[China:Heilongjiang],,,,"[run.zq, sra, fastq]","[ncbi, s3, gs]","[ncbi.public, gs.us-east1, s3.us-east-1]",1.0,0.996770345221095
SAMN06313223,SRR5487705,RNA-Seq,JGI,public,SRX2770604,Gp0176289,Illumina HiSeq 2500,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS2154080,Glycine max,SRP105614,2017-04-30,PRJNA372498,2607.0,,300.0,6389.0,,ACCCY,[MIGS.eu],,uncalculated,uncalculated,[missing],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996687487810905
SAMN36630237,SRR25360876,RNA-Seq,"LSC 312, CHRISTOPHER S. BOND LIFE SCIENCES CENTER, THE DIVISION OF PLANT SCIENCES AND TECHNOLOGY",public,SRX21100267,GSM7653586,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS18369471,Glycine max,SRP450502,2023-07-23,PRJNA996630,2081.0,,300.0,6922.0,,GSM7653586,,,uncalculated,uncalculated,[missing],,,,"[sra, fastq, run.zq]","[ncbi, gs, s3]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.996572919322631
SAMN02746728,SRR1272376,RNA-Seq,GEO,public,SRX533844,GSM1380801,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS602572,Glycine max,SRP041710,2015-07-22,PRJNA246314,148.0,,51.0,169.0,,,,,,,,,,,"[fastq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",2.0,0.996417115072981
SAMN31495088,SRR22071555,RNA-Seq,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,public,SRX18051946,A-A-2,Illumina HiSeq 2000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS15558243,Glycine max,SRP404974,2022-12-11,PRJNA895173,3771.0,,247.0,5898.0,,A-A-2,[Plant],,China,Asia,[China:Anhui],,,,"[run.zq, sra, fastq]","[s3, ncbi, gs]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.996415166546229
SAMN37387604,SRR26094061,RNA-Seq,"ASBIOS (TIANJIN) BIOTECHNOLOGY CO., LTD.",public,SRX21808705,A531d2_1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS18909533,Glycine max,SRP461459,2023-09-18,PRJNA1016048,2336.0,,300.0,7318.0,,A531d2_1,[Plant],[2023-06-15],China,Asia,[China:Heilongjiang],,,,"[sra, run.zq, fastq]","[ncbi, s3, gs]","[gs.us-east1, s3.us-east-1, ncbi.public]",1.0,0.996236446820909
SAMN08287156,SRR6476550,RNA-Seq,KUNMING INSTITUTE OF ZOOLOGY,public,SRX3566451,TZX-172,Illumina HiSeq 2000,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS2838507,Glycine max,SRP129861,2019-01-01,PRJNA428294,3264.0,,200.0,5697.0,,TZX-172,[Model organism or animal],,,,,,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996215006031626
SAMN09976652,SRR7800889,RNA-Seq,NANJING AGRICULTURAL UNIVERSITY,public,SRX4652723,1,Illumina HiSeq 2500,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS3750425,Glycine max,SRP160000,2018-12-03,PRJNA489367,3881.0,,300.0,10579.0,,5,[Plant],,China,Asia,[China: Anhui],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996143112269061
SAMN19243733,SRR14615549,RNA-Seq,IOWA STATE UNIVERSITY,public,SRX10957287,44-S98,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRS9035557,Glycine max,SRP320877,2021-06-30,PRJNA730888,1373.0,,297.0,3258.0,,44-S98,[Plant],,USA,North America,[USA: Iowa-16],,,,"[fastq, run.zq, sra]","[ncbi, gs, s3]","[ncbi.public, s3.us-east-1, gs.us-east1]",1.0,0.996123310111362
SAMN30685021,SRR21433165,RNA-Seq,NINGBO UNIVERSITY,public,SRX17437321,OE_W2_rep3,Illumina NovaSeq 6000,PAIRED,RT-PCR,TRANSCRIPTOMIC,ILLUMINA,SRS14991406,Glycine max,SRP395813,2022-09-06,PRJNA877111,2055.0,,299.0,6335.0,,OE_W2_rep3,[Plant],,China,Asia,[China: Beijing],,,,"[fastq, sra, run.zq]","[s3, gs, ncbi]","[s3.us-east-1, ncbi.public, gs.us-east1]",1.0,0.996120004950598
SAMN13107057,SRR10343480,RNA-Seq,"OIL CROPS RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES",public,SRX7053356,Mag(+)1,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,ILLUMINA,SRS5570184,Glycine max,SRP226904,2019-10-25,PRJNA579241,2556.0,,298.0,6494.0,,Mag(+)1,[Plant],,China,Asia,[China:Wuhan],,,,"[fastq, run.zq, sra]","[gs, ncbi, s3]","[gs.us-east1, ncbi.public, s3.us-east-1]",1.0,0.996101237619174
SAMN21359672,SRR15838035,RNA-Seq,USDA-ARS,public,SRX12129450,G2_PI612611_Leaf_Suf_Rep2,Illumina HiSeq 2500,SINGLE,unspecified,TRANSCRIPTOMIC,ILLUMINA,SRS10109589,Glycine max,SRP336396,2021-11-03,PRJNA706999,130.0,,127.0,1108.0,,GOLS2-2,[Plant],,North Korea,Asia,[North Korea],,,,"[run.zq, bam, sra]","[ncbi, s3, gs]","[ncbi.public, gs.us-east1, s3.us-east-1]",2.0,0.996046428513531
