biosample,control,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fungal,sporus
SAMD00161797,"{'attributes': '[{k=bases, v=4153637322}, {k=bytes, v=1669458011}, {k=run_file_create_date, v=2019-02-14T16:21:00.000Z}, {k=biological_replicate_sam, v=biological replicate 2}, {k=bioproject_id_sam, v=PRJDB7775}, {k=cultivar_sam, v=Sachiyutaka}, {k=dev_stage_sam, v=R5}, {k=growth_condition_sam, v=Field}, {k=sample_title_sam, v=control_20160930_rep1}, {k=time_sam, v=9:00-10:00}, {k=tissue_sam_ss_dpl145, v=main stem}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=10923268}, {k=primary_search, v=522702}, {k=primary_search, v=DRP004833}, {k=primary_search, v=DRR169696}, {k=primary_search, v=DRS088208}, {k=primary_search, v=DRX160310}, {k=primary_search, v=PRJDB7775}, {k=primary_search, v=SAMD00161797}]', 'jattr': ""{'bases': '4153637322', 'bytes': '1669458011', 'run_file_create_date': '2019-02-14T16:21:00.000Z', 'biological_replicate_sam': 'biological replicate 2', 'bioproject_id_sam': 'PRJDB7775', 'cultivar_sam': 'Sachiyutaka', 'dev_stage_sam': 'R5', 'growth_condition_sam': 'Field', 'sample_title_sam': 'control_20160930_rep1', 'time_sam': '9:00-10:00', 'tissue_sam_ss_dpl145': 'main stem', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['10923268', '522702', 'DRP004833', 'DRR169696', 'DRS088208', 'DRX160310', 'PRJDB7775', 'SAMD00161797']}"", 'treatment_sam_ss_dpl55': 'control', 'sample_title_sam': 'control_20160930_rep1'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00161798,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00161799,"{'attributes': '[{k=bases, v=5636706172}, {k=bytes, v=2266885088}, {k=run_file_create_date, v=2019-02-14T16:21:00.000Z}, {k=biological_replicate_sam, v=biological replicate 2}, {k=bioproject_id_sam, v=PRJDB7775}, {k=cultivar_sam, v=Sachiyutaka}, {k=dev_stage_sam, v=R5}, {k=growth_condition_sam, v=Field}, {k=sample_title_sam, v=control_20160930_rep2}, {k=time_sam, v=9:00-10:00}, {k=tissue_sam_ss_dpl145, v=main stem}, {k=treatment_sam_ss_dpl55, v=control}, {k=primary_search, v=10923270}, {k=primary_search, v=522702}, {k=primary_search, v=DRP004833}, {k=primary_search, v=DRR169698}, {k=primary_search, v=DRS088210}, {k=primary_search, v=DRX160312}, {k=primary_search, v=PRJDB7775}, {k=primary_search, v=SAMD00161799}]', 'jattr': ""{'bases': '5636706172', 'bytes': '2266885088', 'run_file_create_date': '2019-02-14T16:21:00.000Z', 'biological_replicate_sam': 'biological replicate 2', 'bioproject_id_sam': 'PRJDB7775', 'cultivar_sam': 'Sachiyutaka', 'dev_stage_sam': 'R5', 'growth_condition_sam': 'Field', 'sample_title_sam': 'control_20160930_rep2', 'time_sam': '9:00-10:00', 'tissue_sam_ss_dpl145': 'main stem', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ['10923270', '522702', 'DRP004833', 'DRR169698', 'DRS088210', 'DRX160312', 'PRJDB7775', 'SAMD00161799']}"", 'treatment_sam_ss_dpl55': 'control', 'sample_title_sam': 'control_20160930_rep2'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00182779,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182780,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182781,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182782,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182783,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182784,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182785,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182786,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182787,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182788,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182789,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00182790,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183603,{'sample_name_sam': '[Glycine_max_control_1]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183604,{'sample_name_sam': '[Glycine_max_control_2]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183605,{'sample_name_sam': '[Glycine_max_control_3]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183606,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183607,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183608,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183609,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183610,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183611,"{'Attributes': ""{'tissue': 'leucocytes', 'vector': 'Copy control vector pCC1BAC (Epicentre Technologies)', 'v_type': 'BAC', 're_1': 'EcoR1'}""}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00216748,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216749,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216750,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216751,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216752,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216753,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00216754,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00222772,{},{'title': 'potato tubers cold stress substracted cDNA library'},{},{},{},{},{},{},{},{},{},{}
SAMD00222773,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00222774,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00222775,{},{},{},{},"{'attributes': '[{k=bases, v=5074582390}, {k=bytes, v=1554092896}, {k=run_file_create_date, v=2021-03-15T02:41:00.000Z}, {k=biological_replicate_sam, v=1}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with B. elkanii}, {k=primary_search, v=17612319}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225282}, {k=primary_search, v=DRS171636}, {k=primary_search, v=DRX215567}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222775}]', 'jattr': ""{'bases': '5074582390', 'bytes': '1554092896', 'run_file_create_date': '2021-03-15T02:41:00.000Z', 'biological_replicate_sam': '1', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii', 'primary_search': ['17612319', '695462', 'DRP006945', 'DRR225282', 'DRS171636', 'DRX215567', 'PRJDB9752', 'SAMD00222775']}"", 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii'}",{},{},{},{},{},{},{}
SAMD00222776,{},{},{},{},"{'attributes': '[{k=bases, v=4430655678}, {k=bytes, v=1384092016}, {k=run_file_create_date, v=2021-03-15T02:45:00.000Z}, {k=biological_replicate_sam, v=2}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with B. elkanii}, {k=primary_search, v=17612320}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225283}, {k=primary_search, v=DRS171637}, {k=primary_search, v=DRX215568}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222776}]', 'jattr': ""{'bases': '4430655678', 'bytes': '1384092016', 'run_file_create_date': '2021-03-15T02:45:00.000Z', 'biological_replicate_sam': '2', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii', 'primary_search': ['17612320', '695462', 'DRP006945', 'DRR225283', 'DRS171637', 'DRX215568', 'PRJDB9752', 'SAMD00222776']}"", 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii'}",{},{},{},{},{},{},{}
SAMD00222777,{},{},{},{},"{'attributes': '[{k=bases, v=5131658702}, {k=bytes, v=1600220690}, {k=run_file_create_date, v=2021-03-15T12:47:00.000Z}, {k=biological_replicate_sam, v=3}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with B. elkanii}, {k=primary_search, v=17612321}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225284}, {k=primary_search, v=DRS171638}, {k=primary_search, v=DRX215569}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222777}]', 'jattr': ""{'bases': '5131658702', 'bytes': '1600220690', 'run_file_create_date': '2021-03-15T12:47:00.000Z', 'biological_replicate_sam': '3', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii', 'primary_search': ['17612321', '695462', 'DRP006945', 'DRR225284', 'DRS171638', 'DRX215569', 'PRJDB9752', 'SAMD00222777']}"", 'treatment_sam_ss_dpl55': 'Inoculated with B. elkanii'}",{},{},{},{},{},{},{}
SAMD00222778,{},{},{},{},"{'attributes': '[{k=bases, v=4830677288}, {k=bytes, v=1476155924}, {k=run_file_create_date, v=2021-03-15T02:46:00.000Z}, {k=biological_replicate_sam, v=1}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with bel2-5}, {k=primary_search, v=17612322}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225279}, {k=primary_search, v=DRS171639}, {k=primary_search, v=DRX215564}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222778}]', 'jattr': ""{'bases': '4830677288', 'bytes': '1476155924', 'run_file_create_date': '2021-03-15T02:46:00.000Z', 'biological_replicate_sam': '1', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5', 'primary_search': ['17612322', '695462', 'DRP006945', 'DRR225279', 'DRS171639', 'DRX215564', 'PRJDB9752', 'SAMD00222778']}"", 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5'}",{},{},{},{},{},{},{}
SAMD00222779,{},{},{},{},"{'attributes': '[{k=bases, v=5757880114}, {k=bytes, v=1804019616}, {k=run_file_create_date, v=2021-03-15T02:41:00.000Z}, {k=biological_replicate_sam, v=2}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with bel2-5}, {k=primary_search, v=17612323}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225280}, {k=primary_search, v=DRS171640}, {k=primary_search, v=DRX215565}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222779}]', 'jattr': ""{'bases': '5757880114', 'bytes': '1804019616', 'run_file_create_date': '2021-03-15T02:41:00.000Z', 'biological_replicate_sam': '2', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5', 'primary_search': ['17612323', '695462', 'DRP006945', 'DRR225280', 'DRS171640', 'DRX215565', 'PRJDB9752', 'SAMD00222779']}"", 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5'}",{},{},{},{'title': 'Leptosphaeria maculans v23.1.3 cotyledon-pathogen interaction 14 dpi (inserts 0.8 to 1.2kb)'},{},{},{}
SAMD00222780,{},{},{},{},"{'attributes': '[{k=bases, v=4174163148}, {k=bytes, v=1315582683}, {k=run_file_create_date, v=2021-03-15T02:41:00.000Z}, {k=biological_replicate_sam, v=3}, {k=collection_date_sam, v=2019-03-17}, {k=cultivar_sam, v=En1282}, {k=growth_condition_sam, v=Growth pouch}, {k=growth_protocol_sam_s_dpl216, v=Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions}, {k=temp_sam, v=25 degree}, {k=time_sam, v=3 days post inoculation}, {k=tissue_sam_ss_dpl145, v=Root}, {k=treatment_sam_ss_dpl55, v=Inoculated with bel2-5}, {k=primary_search, v=17612324}, {k=primary_search, v=695462}, {k=primary_search, v=DRP006945}, {k=primary_search, v=DRR225281}, {k=primary_search, v=DRS171641}, {k=primary_search, v=DRX215566}, {k=primary_search, v=PRJDB9752}, {k=primary_search, v=SAMD00222780}]', 'jattr': ""{'bases': '4174163148', 'bytes': '1315582683', 'run_file_create_date': '2021-03-15T02:41:00.000Z', 'biological_replicate_sam': '3', 'collection_date_sam': '2019-03-17', 'cultivar_sam': 'En1282', 'growth_condition_sam': 'Growth pouch', 'growth_protocol_sam_s_dpl216': 'Plants were cultivated in a plant growth chamber; appropriate amounts of B and D nitrogen-free solutions', 'temp_sam': '25 degree', 'time_sam': '3 days post inoculation', 'tissue_sam_ss_dpl145': 'Root', 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5', 'primary_search': ['17612324', '695462', 'DRP006945', 'DRR225281', 'DRS171641', 'DRX215566', 'PRJDB9752', 'SAMD00222780']}"", 'treatment_sam_ss_dpl55': 'Inoculated with bel2-5'}",{},{},{},{},{},{},{}
SAMD00235524,{'sample_name_sam': '[Control_DAS1]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235525,{'sample_name_sam': '[Control_DAS2]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235526,{'sample_name_sam': '[Control_DAS3]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235527,{'sample_name_sam': '[Control_DAS4]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235528,{'sample_name_sam': '[Control_DAS5]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235529,{'sample_name_sam': '[Control_DAS6]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235530,{'sample_name_sam': '[Control_DAS7]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235531,{'sample_name_sam': '[Control_DAS8]'},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235532,{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00235533,{},{},{},{},{},{},{},{},{},{},{},{}
