con ,SRR22105696,SAMN31521744,SRX18085689,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_6b,,S6,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105697,SAMN31521743,SRX18085688,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_6a,,S6,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105698,SAMN31521698,SRX18085687,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_4b,,S4,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105699,SAMN31521742,SRX18085686,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_5b,,S5,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105700,SAMN31521741,SRX18085685,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_5a,,S5,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105701,SAMN31521740,SRX18085684,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_4b,,S4,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105702,SAMN31521739,SRX18085683,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_4a,,S4,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105703,SAMN31521738,SRX18085682,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_3b,,S3,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105704,SAMN31521737,SRX18085681,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_3a,,S3,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105705,SAMN31521736,SRX18085680,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_2b,,S2,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105706,SAMN31521735,SRX18085679,SRP405443,PRJNA895728,Seed,ZH02 (Recombination inbred line),ZH02_2a,,S2,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105707,SAMN31521734,SRX18085678,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_8b,,S8,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105708,SAMN31521733,SRX18085677,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_8a,,S8,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105709,SAMN31521697,SRX18085676,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_4a,,S4,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105710,SAMN31521732,SRX18085675,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_7b,,S7,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105711,SAMN31521731,SRX18085674,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_7a,,S7,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105712,SAMN31521730,SRX18085673,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_6b,,S6,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105713,SAMN31521729,SRX18085672,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_6a,,S6,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105714,SAMN31521728,SRX18085671,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_5b,,S5,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105715,SAMN31521727,SRX18085670,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_5a,,S5,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105716,SAMN31521726,SRX18085669,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_4b,,S4,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105717,SAMN31521725,SRX18085668,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_4a,,S4,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105718,SAMN31521724,SRX18085667,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_3b,,S3,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105719,SAMN31521723,SRX18085666,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_3a,,S3,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105720,SAMN31521696,SRX18085665,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_3b,,S3,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105721,SAMN31521722,SRX18085664,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_2b,,S2,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105722,SAMN31521721,SRX18085663,SRP405443,PRJNA895728,Seed,ZH01 (Recombination inbred line),ZH01_2a,,S2,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105723,SAMN31521720,SRX18085662,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_8b,,S8,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105724,SAMN31521719,SRX18085661,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_8a,,S8,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105725,SAMN31521718,SRX18085660,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_7b,,S7,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105726,SAMN31521717,SRX18085659,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_7a,,S7,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105727,SAMN31521716,SRX18085658,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_6b,,S6,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105728,SAMN31521715,SRX18085657,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_6a,,S6,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105729,SAMN31521714,SRX18085656,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_5b,,S5,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105730,SAMN31521713,SRX18085655,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_5a,,S5,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105731,SAMN31521695,SRX18085654,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_3a,,S3,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105732,SAMN31521712,SRX18085653,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_4b,,S4,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105733,SAMN31521711,SRX18085652,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_4a,,S4,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105734,SAMN31521710,SRX18085651,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_3b,,S3,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105735,SAMN31521709,SRX18085650,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_3a,,S3,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105736,SAMN31521708,SRX18085649,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_2b,,S2,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105737,SAMN31521707,SRX18085648,SRP405443,PRJNA895728,Seed,Zhongdou 27,ZD27_2a,,S2,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105738,SAMN31521706,SRX18085647,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_8b,,S8,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105739,SAMN31521705,SRX18085646,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_8a,,S8,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105740,SAMN31521704,SRX18085645,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_7b,,S7,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105741,SAMN31521703,SRX18085644,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_7a,,S7,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105742,SAMN31521694,SRX18085643,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_2b,,S2,,,Biological Replicate-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR22105743,SAMN31521693,SRX18085642,SRP405443,PRJNA895728,Seed,Hefeng 25,HF25_2a,,S2,,,Biological Replicate-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226844,SAMN29494563,SRX16260837,SRP386615,PRJNA855552,leaf,TMG06_0011,DS72_ACTTGA,Not applicable,V1,Inoculation using rust spore suspension and sampled at 72h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226845,SAMN29494562,SRX16260836,SRP386615,PRJNA855552,leaf,TMG06_0011,DS48_CAGATC,Not applicable,V1,Inoculation using rust spore suspension and sampled at 48h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226846,SAMN29494561,SRX16260835,SRP386615,PRJNA855552,leaf,TMG06_0011,DS24_GCCAAT,Not applicable,V1,Inoculation using rust spore suspension and sampled at 24h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,SRR20226847,SAMN29494560,SRX16260834,SRP386615,PRJNA855552,leaf,TMG06_0011,Dscontrol_ACAGTG,Not applicable,V1,Mock treatment and sampled at 48h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226848,SAMN29494559,SRX16260833,SRP386615,PRJNA855552,leaf,PI594760B,B72_TGACCA,Not applicable,V1,Inoculation using rust spore suspension and sampled at 72h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226849,SAMN29494558,SRX16260832,SRP386615,PRJNA855552,leaf,PI594760B,B48_TTAGGC,Not applicable,V1,Inoculation using rust spore suspension and sampled at 48h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR20226850,SAMN29494557,SRX16260831,SRP386615,PRJNA855552,leaf,PI594760B,B24_CGATGT,Not applicable,V1,Inoculation using rust spore suspension and sampled at 24h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con ,SRR20226851,SAMN29494556,SRX16260830,SRP386615,PRJNA855552,leaf,PI594760B,Bcontrol_ATCACG,Not applicable,V1,Mock treatment and sampled at 48h post inoculation,,Not applicable,Not applicable,,,,,,,,,,,,,Asian soybean rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,SRR23368132,SAMN33196668,SRX19309164,SRP421436,PRJNA932570,radicles,P3,C6_L4_116A16,9 days of culture,germinating seed stage,25,,Room temperature treatment of recipient plants at 25 Celsius,not collected,not collected,,"Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...",,,,,,not collected,not collected,not collected,not collected,not collected,,,not collected,,25,,not collected,not collected,,,,,,,not collected,not collected,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,SRR23368133,SAMN33196667,SRX19309163,SRP421436,PRJNA932570,radicles,P3,C5_L4_115A15,9 days of culture,germinating seed stage,25,,Room temperature treatment of recipient plants at 25 Celsius,not collected,not collected,,"Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...",replicate = biological replicate 2,,,,,not collected,not collected,not collected,not collected,not collected,,,not collected,,25,,not collected,not collected,,,,,,,not collected,not collected,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,SRR23368134,SAMN33196666,SRX19309162,SRP421436,PRJNA932570,radicles,P3,C3_L4_114A14,9 days of culture,germinating seed stage,25,,Room temperature treatment of transgenic plants at 25 Celsius,not collected,not collected,,"Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...",replicate = biological replicate 1,,,,,not collected,not collected,not collected,not collected,not collected,,,not collected,,25,,not collected,not collected,,,,,,,not collected,not collected,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,SRR23368135,SAMN33196665,SRX19309161,SRP421436,PRJNA932570,radicles,P3,C2_L4_113A13,9 days of culture,germinating seed stage,25,,Room temperature treatment of transgenic plants at 25 Celsius,not collected,not collected,,"Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...",replicate = biological replicate 2,,,,,not collected,not collected,not collected,not collected,not collected,,,not collected,,25,,not collected,not collected,,,,,,,not collected,not collected,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,SRR23368136,SAMN33196664,SRX19309160,SRP421436,PRJNA932570,radicles,P3,B9_L4_194A94,9 days of culture,germinating seed stage,6,,Low temperature treatment of transgenic plants at 6 Celsius,not collected,not collected,,"Peanut, transgenic soybean, and WT seeds in the same growth state were selected. The seeds were disinfected with 70% (v/w) ethanol for 1 min and soaked in 5% (w/v) sodium hypochlorite solution for 15 min, after which the seeds were rinsed 5 to 6 times ...",replicate = biological replicate 1,,,,,not collected,not collected,not collected,not collected,not collected,,,not collected,,6,,not collected,not collected,,,,,,,not collected,not collected,,,,,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
