library,species,version,experiment,tissue,condition,group,group.replicate,SampleDescription,SRA_run,SRA_study,publication.status,PI,Contact,sp.ver
BNNBX,Glycine max,Wm82.a4.v1,circadian,leaf,330PM,leaf.330PM,leaf.330PM_3,Leaf collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478969,SRP130031,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNW,Glycine max,Wm82.a4.v1,circadian,leaf,530AM,leaf.530AM,leaf.530AM_1,Leaf collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031221,SRP141056,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNX,Glycine max,Wm82.a4.v1,circadian,leaf,530AM,leaf.530AM,leaf.530AM_2,Leaf collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031228,SRP141048,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNY,Glycine max,Wm82.a4.v1,circadian,leaf,530AM,leaf.530AM,leaf.530AM_3,Leaf collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031223,SRP141053,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXH,Glycine max,Wm82.a4.v1,circadian,leaf,530PM,leaf.530PM,leaf.530PM_1,Leaf collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478995,SRP130005,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYP,Glycine max,Wm82.a4.v1,circadian,leaf,530PM,leaf.530PM,leaf.530PM_2,Leaf collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479028,SRP129973,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZU,Glycine max,Wm82.a4.v1,circadian,leaf,530PM,leaf.530PM,leaf.530PM_3,Leaf collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479039,SRP129961,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWU,Glycine max,Wm82.a4.v1,circadian,leaf,730AM,leaf.730AM,leaf.730AM_1,Leaf collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478984,SRP130016,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAY,Glycine max,Wm82.a4.v1,circadian,leaf,730AM,leaf.730AM,leaf.730AM_2,Leaf collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479013,SRP129987,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBS,Glycine max,Wm82.a4.v1,circadian,leaf,730AM,leaf.730AM,leaf.730AM_3,Leaf collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478975,SRP130026,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNZ,Glycine max,Wm82.a4.v1,circadian,leaf,730AM,leaf.730AM,leaf.730AM_4,Leaf collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031224,SRP141052,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOA,Glycine max,Wm82.a4.v1,circadian,leaf,730AM,leaf.730AM,leaf.730AM_5,Leaf collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031219,SRP141057,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXY,Glycine max,Wm82.a4.v1,circadian,leaf,730PM,leaf.730PM,leaf.730PM_1,Leaf collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479016,SRP129984,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZB,Glycine max,Wm82.a4.v1,circadian,leaf,730PM,leaf.730PM,leaf.730PM_2,Leaf collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479037,SRP129963,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAH,Glycine max,Wm82.a4.v1,circadian,leaf,730PM,leaf.730PM,leaf.730PM_3,Leaf collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479004,SRP129996,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWZ,Glycine max,Wm82.a4.v1,circadian,leaf,930AM,leaf.930AM,leaf.930AM_1,Leaf collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479057,SRP129943,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAZ,Glycine max,Wm82.a4.v1,circadian,leaf,930AM,leaf.930AM,leaf.930AM_2,Leaf collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479012,SRP129988,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCB,Glycine max,Wm82.a4.v1,circadian,leaf,930AM,leaf.930AM,leaf.930AM_3,Leaf collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479026,SRP129974,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYC,Glycine max,Wm82.a4.v1,circadian,leaf,930PM,leaf.930PM,leaf.930PM_1,Leaf collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479017,SRP129983,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYX,Glycine max,Wm82.a4.v1,circadian,leaf,930PM,leaf.930PM,leaf.930PM_2,Leaf collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479032,SRP129968,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAA,Glycine max,Wm82.a4.v1,circadian,leaf,930PM,leaf.930PM,leaf.930PM_3,Leaf collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479002,SRP129998,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCO,Glycine max,Wm82.a4.v1,nitrogen,leaf,ammonium,leaf.ammonium,leaf.ammonium_1,Leaves from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588528,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCX,Glycine max,Wm82.a4.v1,nitrogen,leaf,ammonium,leaf.ammonium,leaf.ammonium_2,Leaves from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588549,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THUG,Glycine max,Wm82.a4.v1,nitrogen,leaf,ammonium,leaf.ammonium,leaf.ammonium_3,Leaves from plants (4 week old) grown on ammonium phosphate (10 mM) as a sole nitrogen source,SRR1588522,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCW,Glycine max,Wm82.a4.v1,nitrogen,leaf,nitrate,leaf.nitrate,leaf.nitrate_1,Leaves from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588529,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCZ,Glycine max,Wm82.a4.v1,nitrogen,leaf,nitrate,leaf.nitrate,leaf.nitrate_2,Leaves from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588527,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTO,Glycine max,Wm82.a4.v1,nitrogen,leaf,nitrate,leaf.nitrate,leaf.nitrate_3,Leaves from plants (4 week old) grown on potassium nitrate (10 mM) as a sole nitrogen source,SRR1588544,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUOG,Glycine max,Wm82.a4.v1,nitrogen,leaf,standard,leaf.standard,leaf.standard_1,Leaves from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487699,SRP105608,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNN,Glycine max,Wm82.a4.v1,nitrogen,leaf,standard,leaf.standard,leaf.standard_2,Leaves from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487724,SRP105633,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNY,Glycine max,Wm82.a4.v1,nitrogen,leaf,standard,leaf.standard,leaf.standard_3,Leaves from plants (4 week old) grown on standard medium (B & D medium supplemented with 0.5mM ammonium nitrate),SRR5487729,SRP105638,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCP,Glycine max,Wm82.a4.v1,nitrogen,leaf,symbiotic_condition,leaf.symbiotic_condition,leaf.symbiotic_condition_1,Leaves from plants (4 week old) in symbiotic condition,SRR1588537,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTZ,Glycine max,Wm82.a4.v1,nitrogen,leaf,symbiotic_condition,leaf.symbiotic_condition,leaf.symbiotic_condition_2,Leaves from plants (4 week old) in symbiotic condition,SRR1588533,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THUC,Glycine max,Wm82.a4.v1,nitrogen,leaf,symbiotic_condition,leaf.symbiotic_condition,leaf.symbiotic_condition_3,Leaves from plants (4 week old) in symbiotic condition,SRR1588536,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCHW,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_1,leaf.trifoliate_stage_1,leaf.trifoliate_stage_1_1,Trifoliate leaf at stage 1 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031229,SRP141047,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCHX,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_1,leaf.trifoliate_stage_1,leaf.trifoliate_stage_1_2,Trifoliate leaf at stage 1 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031234,SRP141041,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCHY,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_1,leaf.trifoliate_stage_1,leaf.trifoliate_stage_1_3,Trifoliate leaf at stage 1 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031233,SRP141044,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCHZ,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_2,leaf.trifoliate_stage_2,leaf.trifoliate_stage_2_1,Trifoliate leaf at stage 2 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031231,SRP141045,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNA,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_2,leaf.trifoliate_stage_2,leaf.trifoliate_stage_2_2,Trifoliate leaf at stage 2 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031216,SRP141060,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNB,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_2,leaf.trifoliate_stage_2,leaf.trifoliate_stage_2_3,Trifoliate leaf at stage 2 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031213,SRP141063,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNC,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_3,leaf.trifoliate_stage_3,leaf.trifoliate_stage_3_1,Trifoliate leaf at stage 3 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031214,SRP141062,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNG,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_3,leaf.trifoliate_stage_3,leaf.trifoliate_stage_3_2,Trifoliate leaf at stage 3 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031232,SRP141043,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNH,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_3,leaf.trifoliate_stage_3,leaf.trifoliate_stage_3_3,Trifoliate leaf at stage 3 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031244,SRP141032,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNN,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_1,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031236,SRP141040,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNO,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_2,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031235,SRP141042,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNP,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_4,leaf.trifoliate_stage_4,leaf.trifoliate_stage_4_3,Trifoliate leaf at stage 4 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031230,SRP141046,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNS,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_1,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031237,SRP141039,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNT,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_2,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031239,SRP141036,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCNU,Glycine max,Wm82.a4.v1,leaf.development,leaf,trifoliate_stage_5,leaf.trifoliate_stage_5,leaf.trifoliate_stage_5_3,Trifoliate leaf at stage 5 from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031240,SRP141038,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
SZCT,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_1,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588540,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTP,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_2,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588541,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
THTU,Glycine max,Wm82.a4.v1,nitrogen,leaf,urea,leaf.urea,leaf.urea_3,Leaves from plants (4 week old) grown on urea (5 mM) as a sole nitrogen source,SRR1588526,SRP048201,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWX,Glycine max,Wm82.a4.v1,circadian,nodules,1130AM,nodules.1130AM,nodules.1130AM_1,Nodules at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478986,SRP130014,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBG,Glycine max,Wm82.a4.v1,circadian,nodules,1130AM,nodules.1130AM,nodules.1130AM_2,Nodules at 11.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479049,SRP129951,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
