biosample,control,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fungal
SAMD00244368,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244369,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244370,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244371,[],[],[],[],[],[],[],[],[],[],[]
SAMD00244372,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276044,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276045,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276046,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276047,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276048,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276049,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276050,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276051,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276052,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276053,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276054,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276055,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276056,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276057,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276058,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276059,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276060,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276061,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276062,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276063,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276064,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276065,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276066,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276067,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276068,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276069,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276070,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276071,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276072,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276073,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276074,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276075,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276076,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276077,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276078,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276079,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276080,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276081,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276082,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276083,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276084,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276085,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276086,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276087,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276088,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276089,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276090,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276091,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276092,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276093,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276094,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276095,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276096,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276097,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276098,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276099,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276100,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276101,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276102,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276103,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276104,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276105,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276106,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276107,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276108,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276109,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276110,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276111,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276112,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276113,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276114,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276115,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276116,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276117,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276118,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276119,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276120,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276121,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276122,[],[],[],[],[],[],[],[],[],[],[]
SAMD00276123,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334683,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334684,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334685,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334686,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334687,[],[],[],[],[],[],[],[],[],[],[]
SAMD00334688,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549638,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549639,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549640,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549641,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549642,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549643,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549644,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549645,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549646,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549647,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549648,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549649,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549650,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549651,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549652,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549653,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549654,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549655,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549656,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549657,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549658,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549659,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549660,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549661,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549662,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549663,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549664,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549665,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549666,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549667,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549668,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549669,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549670,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549671,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549672,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549673,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549674,[],[],[],[],[],[],[],[],[],[],[]
SAMD00549675,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041776,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041777,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041778,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041779,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041780,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041781,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041782,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041783,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041784,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041785,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041786,[],[],[],[],[],[],[],[],[],[],[]
SAMEA104041787,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156551,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156552,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156553,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156554,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156555,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112156556,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885661,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885662,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885663,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885664,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885665,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885666,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885667,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885668,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885669,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885670,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885671,[],[],[],[],[],[],[],[],[],[],[]
SAMEA112885672,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395172,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395173,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395174,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395175,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395176,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395177,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395178,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395179,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395180,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395181,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395182,[],[],[],[],[],[],[],[],[],[],[]
SAMEA4395183,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071870,"['library_name', 'sample_name_sam', 'attributes', 'jattr', 'primary_search', 'submitter_id_sam']",[],[],[],[],[],[],[],[],[],[]
SAMEA5071871,"['library_name', 'sample_name_sam', 'attributes', 'jattr', 'primary_search', 'submitter_id_sam']",[],[],[],[],[],[],[],[],[],[]
SAMEA5071872,"['library_name', 'sample_name_sam', 'attributes', 'jattr', 'primary_search', 'submitter_id_sam']",[],[],[],[],[],[],[],[],[],[]
SAMEA5071873,"['library_name', 'sample_name_sam', 'attributes', 'jattr', 'primary_search', 'submitter_id_sam']",[],[],[],[],[],[],[],[],[],[]
SAMEA5071874,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071875,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071876,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071877,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071878,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071879,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071880,[],[],[],[],[],[],[],[],[],[],[]
SAMEA5071881,[],[],[],[],[],[],[],[],[],[],[]
SAMN00010675,[],[],[],[],[],[],[],[],[],[],[]
SAMN00010676,[],[],[],[],[],[],[],[],[],[],[]
SAMN00013424,"['attributes', 'jattr', 'genotype_sam_ss_dpl92', 'Attributes']",[],[],[],[],[],[],[],[],[],[]
SAMN00013425,[],[],[],[],[],[],[],[],[],[],[]
SAMN00013426,[],[],[],[],[],[],[],[],[],[],[]
SAMN00013427,[],[],[],[],[],[],[],[],[],[],[]
SAMN00120318,[],[],[],[],[],[],[],[],[],[],[]
SAMN00264986,[],[],[],[],[],[],[],[],[],[],[]
SAMN00264987,[],[],[],[],[],[],[],[],[],[],[]
SAMN00264988,[],[],[],[],[],[],[],[],[],[],[]
SAMN00264989,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265076,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265077,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265078,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265079,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265080,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265081,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265082,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265083,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265084,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265085,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265086,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265087,[],[],[],[],[],[],[],[],[],[],[]
SAMN00265088,[],[],[],[],[],[],[],[],[],[],[]
SAMN00622436,[],[],[],[],[],[],[],[],[],[],[]
SAMN00622437,[],[],[],[],[],[],[],[],[],[],[]
SAMN00622438,[],[],[],[],[],[],[],[],[],[],[]
SAMN00690761,[],[],[],[],[],[],[],[],[],[],[]
SAMN00690762,[],[],[],[],"['library_name', 'attributes', 'jattr', 'tissue_sam_ss_dpl145', 'source_name_sam', 'title', 'Attributes']",[],[],[],[],[],[]
SAMN00690763,[],[],[],[],"['library_name', 'title']",[],[],[],[],[],[]
SAMN00690764,[],[],[],[],"['library_name', 'attributes', 'jattr', 'tissue_sam_ss_dpl145', 'source_name_sam', 'title', 'Attributes']",[],[],[],[],[],[]
SAMN00709016,[],[],[],[],[],[],[],[],[],[],[]
SAMN00709552,[],[],[],[],[],[],[],[],[],[],[]
SAMN00709555,[],[],[],[],[],[],[],[],[],[],[]
SAMN00709556,[],[],"['sample_name', 'library_name', 'attributes', 'jattr', 'primary_search', 'title', 'Identifiers']",[],[],[],[],[],[],[],[]
SAMN00709558,[],[],[],[],[],[],[],[],[],[],[]
SAMN00738706,[],[],[],[],[],[],[],[],[],[],[]
SAMN00738707,[],[],[],[],[],[],[],[],[],[],[]
SAMN00740385,[],[],[],[],[],[],[],[],[],[],[]
SAMN00740386,[],[],[],[],[],[],[],[],[],[],[]
SAMN00750159,[],[],[],[],[],[],[],[],[],[],[]
SAMN00750160,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765473,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765474,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765475,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765476,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765477,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765506,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765509,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765511,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765513,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765514,[],[],[],[],[],[],[],[],[],[],[]
SAMN00765515,[],[],[],[],[],[],[],[],[],[],[]
SAMN00768936,[],[],[],[],[],[],[],[],[],[],[]
SAMN00768937,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769643,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769644,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769645,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769646,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769647,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769648,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769649,[],[],[],[],[],[],[],[],[],[],[]
SAMN00769650,[],[],[],[],[],[],[],[],[],[],[]
SAMN00828803,[],[],[],[],[],[],[],[],[],[],[]
