biosample,leave,leaf,seed,crown,shoot,stem,hypocotyl,pod,root,embryo,cotyledon,petiole,radicle,ovule,ovary
SAMN09513490,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN32153892,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15041198,{},"{'tissue_sam_ss_dpl145': 'unifoliate leaf', 'tissue': 'unifoliate leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN08461534,{},{},{},{},"{'tissue_sam_ss_dpl145': 'shoot apical meristem', 'tissue': 'shoot apical meristem'}","{'tissue_sam_ss_dpl145': 'shoot apical meristem', 'tissue': 'shoot apical meristem'}",{},{},{},{},{},{},{},{},{}
SAMN19663684,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN11371513,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN10476541,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN25263533,{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Pod', 'tissue': 'Pod'}",{},{},{},{},{},{},{}
SAMN21359827,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN27775866,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37387608,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359678,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716036,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN14752205,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13175301,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN25290789,{},{},"{'tissue_sam_ss_dpl145': 'Seeds', 'tissue': 'Seeds'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN35718259,"{'tissue_sam_ss_dpl145': 'Leaves', 'tissue': 'Leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11836274,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'hairy root', 'tissue': 'hairy root'}",{},{},{},{},{},{}
SAMN31361600,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN00265078,{},{},"{'tissue_sam_ss_dpl145': 'seed coat parenchyma layer', 'tissue': 'seed coat parenchyma layer'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13107050,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN15648070,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16725452,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'embryonic axis', 'tissue': 'embryonic axis'}",{},{},{},{},{}
SAMN29993489,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'ovule', 'tissue': 'ovule'}",{}
SAMN11807770,"{'tissue_sam_ss_dpl145': 'first trifoliate leaves and apex', 'tissue': 'first trifoliate leaves and apex'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153454,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153472,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37387604,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN08287156,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'stem', 'tissue': 'stem'}",{},{},{},{},{},{},{},{},{}
SAMN19243733,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30685021,"{'tissue_sam_ss_dpl145': 'Leaves', 'tissue': 'Leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13107057,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21359672,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11371517,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09715866,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN32153437,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15581362,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760710,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Embryo', 'tissue': 'Embryo'}",{},{},{},{},{}
SAMN15648209,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648547,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN08707419,{},"{'tissue_sam_ss_dpl145': 'first trifoliate true leaf', 'tissue': 'first trifoliate true leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33988712,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN39205573,{},"{'tissue_sam_ss_dpl145': 'Leaf tissue from V4 stage', 'tissue': 'Leaf tissue from V4 stage'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN40001365,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19243750,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648514,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153907,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716093,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN23131657,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN04932637,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716196,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN09513437,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN15648503,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12600379,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN32989763,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Roots', 'tissue': 'Roots'}",{},{},{},{},{},{}
SAMN11849880,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09987958,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648491,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN23131684,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN05580232,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30839554,{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Hypocotyl', 'tissue': 'Hypocotyl'}",{},{},{},{},{},{},{},{}
SAMN39615962,{},{},"{'tissue_sam_ss_dpl145': 'seed coat', 'tissue': 'seed coat'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09240720,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'ROOT', 'tissue': 'ROOT'}",{},{},{},{},{},{}
SAMN37422330,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38636162,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN40001329,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30727779,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'stem', 'tissue': 'stem'}",{},{},{},{},{},{},{},{},{}
SAMN09715778,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN05755961,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716133,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN09715768,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN31018535,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN41430323,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716229,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN36630247,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153709,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03083698,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37703820,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN35548440,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Hairy roots', 'tissue': 'Hairy roots'}",{},{},{},{},{},{}
SAMN32153848,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN23766581,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN09715693,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN08707415,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'the whole root ', 'tissue': 'the whole root '}",{},{},{},{},{},{}
SAMN07202265,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513495,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN41829210,{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Stem', 'tissue': 'Stem'}",{},{},{},{},{},{},{},{},{}
SAMN18524028,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN16483346,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22371163,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38636111,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721176,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Whole roots', 'tissue': 'Whole roots'}",{},{},{},{},{},{}
SAMN04932640,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12861902,"{'tissue_sam_ss_dpl145': 'leaves and roots', 'tissue': 'leaves and roots'}",{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'leaves and roots', 'tissue': 'leaves and roots'}",{},{},{},{},{},{}
SAMN13977585,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'hairy root', 'tissue': 'hairy root'}",{},{},{},{},{},{}
SAMN36735242,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN32153676,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716193,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN15097865,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN39205385,{},"{'tissue_sam_ss_dpl145': 'Leaf tissue from V4 stage', 'tissue': 'Leaf tissue from V4 stage'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153559,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03083689,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN14752284,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12099678,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN02776947,{},{},"{'tissue_sam_ss_dpl145': 'seeds ranging 3.0-3.5mm in length', 'tissue': 'seeds ranging 3.0-3.5mm in length'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN19271362,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29494544,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31521698,{},{},"{'tissue_sam_ss_dpl145': 'Seed', 'tissue': 'Seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN20702932,"{'tissue_sam_ss_dpl145': 'Leaves and roots', 'tissue': 'Leaves and roots'}",{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Leaves and roots', 'tissue': 'Leaves and roots'}",{},{},{},{},{},{}
SAMN12172309,{},{},"{'tissue_sam_ss_dpl145': 'immature seed coat', 'tissue': 'immature seed coat'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN07521021,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359733,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10740400,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18355927,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN07202328,"{'tissue_sam_ss_dpl145': 'leaves', 'tissue': 'leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10787355,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09714956,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN37946972,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16089608,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Whole Roots', 'tissue': 'Whole Roots'}",{},{},{},{},{},{}
SAMN02799133,{},{},{},{},{},{},{},{},{},{},{'tissue': 'Soybean Early Maturation Cotyledon Adaxial Epidermis'},{},{},{},{}
SAMN26810703,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21216021,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Whole Root', 'tissue': 'Whole Root'}",{},{},{},{},{},{}
SAMN21359763,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00549654,{},{'tissue_sam_ss_dpl145': 'Leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841256,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN15648248,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359795,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN20475803,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN23131691,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN24923235,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN32153603,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN34510064,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN11536746,{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Immature cotyledon', 'tissue': 'Immature cotyledon'}",{},{},{},{}
SAMN21359689,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN14752290,{},"{'tissue_sam_ss_dpl145': 'leaf', 'tissue': 'leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513380,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN32153605,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN34993645,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05937016,{},{},"{'tissue_sam_ss_dpl145': 'immature seed coat', 'tissue': 'immature seed coat'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03473684,{},"{'tissue_sam_ss_dpl145': 'Leaf', 'tissue': 'Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09716372,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN05258396,{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'embryonic axis', 'tissue': 'embryonic axis'}",{},{},{},{},{}
SAMN21359796,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN21359752,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15648380,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN23131701,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'whole root', 'tissue': 'whole root'}",{},{},{},{},{},{}
SAMN35130920,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN41725158,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02197701,{},{},{},{},{},{},{},{},{'tissue': 'root'},{},{},{},{},{},{}
SAMN10721175,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Whole roots', 'tissue': 'Whole roots'}",{},{},{},{},{},{}
SAMN09716219,{},{},{},{},"{'tissue_sam_ss_dpl145': 'The whole shoot above cotelydon', 'tissue': 'The whole shoot above cotelydon'}",{},{},{},{},{},{},{},{},{},{}
SAMN22841331,{},"{'tissue_sam_ss_dpl145': '1st trifoliolate leaflets', 'tissue': '1st trifoliolate leaflets'}",{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03083682,{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Cotyledon', 'tissue': 'Cotyledon'}",{},{},{},{}
SAMN39848641,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN09489359,"{'tissue_sam_ss_dpl145': 'Leaves', 'tissue': 'Leaves'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15731792,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'root', 'tissue': 'root'}",{},{},{},{},{},{}
SAMN32153941,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513504,{},{},{},"{'tissue_sam_ss_dpl145': 'inoculation site: ~2 cm below the crown', 'tissue': 'inoculation site: ~2 cm below the crown'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN27616106,{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Root', 'tissue': 'Root'}",{},{},{},{},{},{}
SAMN40001413,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760300,{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'tissue_sam_ss_dpl145': 'Ovary', 'tissue': 'Ovary'}"
SAMN32153473,{},{},"{'tissue_sam_ss_dpl145': 'seed', 'tissue': 'seed'}",{},{},{},{},{},{},{},{},{},{},{},{}
