biosample,bioproject,tejido,estres,tratamiento
SAMD00276072,PRJDB11138,leaf,,control
SAMD00276073,PRJDB11138,leaf,,treatment
SAMD00276074,PRJDB11138,leaf,,control
SAMD00276075,PRJDB11138,leaf,,treatment
SAMD00276076,PRJDB11138,leaf,,control
SAMD00276077,PRJDB11138,leaf,,treatment
SAMD00276078,PRJDB11138,leaf,,control
SAMD00276079,PRJDB11138,leaf,,treatment
SAMD00276080,PRJDB11138,leaf,,control
SAMD00276081,PRJDB11138,leaf,,treatment
SAMD00276082,PRJDB11138,leaf,,control
SAMD00276083,PRJDB11138,leaf,,treatment
SAMD00276084,PRJDB11138,root,,control
SAMD00276085,PRJDB11138,root,,control
SAMD00276086,PRJDB11138,root,,treatment
SAMD00276087,PRJDB11138,root,,control
SAMD00276088,PRJDB11138,root,,treatment
SAMD00276089,PRJDB11138,root,,control
SAMD00276090,PRJDB11138,root,,treatment
SAMD00276091,PRJDB11138,root,,control
SAMD00276092,PRJDB11138,root,,treatment
SAMD00276093,PRJDB11138,root,,control
SAMD00276094,PRJDB11138,root,,treatment
SAMD00276095,PRJDB11138,root,,control
SAMD00276096,PRJDB11138,root,,treatment
SAMD00276097,PRJDB11138,root,,control
SAMD00276098,PRJDB11138,root,,treatment
SAMD00276099,PRJDB11138,root,,control
SAMD00276100,PRJDB11138,root,,treatment
SAMD00276101,PRJDB11138,root,,control
SAMD00276102,PRJDB11138,root,,treatment
SAMD00276103,PRJDB11138,root,,control
SAMD00276104,PRJDB11138,root,,treatment
SAMD00276105,PRJDB11138,root,,control
SAMD00276106,PRJDB11138,root,,treatment
SAMD00276107,PRJDB11138,root,,control
SAMD00276108,PRJDB11138,root,,treatment
SAMD00276109,PRJDB11138,root,,control
SAMD00276110,PRJDB11138,root,,treatment
SAMD00276111,PRJDB11138,root,,control
SAMD00276112,PRJDB11138,root,,treatment
SAMD00276113,PRJDB11138,root,,control
SAMD00276114,PRJDB11138,root,,treatment
SAMD00276115,PRJDB11138,root,,control
SAMD00276116,PRJDB11138,root,,treatment
SAMD00276117,PRJDB11138,root,,control
SAMD00276118,PRJDB11138,root,,treatment
SAMD00276119,PRJDB11138,root,,control
SAMD00276120,PRJDB11138,root,,treatment
SAMD00276121,PRJDB11138,root,,control
SAMD00276122,PRJDB11138,root,,treatment
SAMD00276123,PRJDB11138,root,,treatment
SAMD00334683,PRJDB11892,leaf,drought,control
SAMD00334684,PRJDB11892,leaf,drought,control
SAMD00334685,PRJDB11892,leaf,drought,control
SAMD00334686,PRJDB11892,leaf,drought,control
SAMD00334687,PRJDB11892,leaf,drought,treatment
SAMD00334688,PRJDB11892,leaf,drought,treatment
SAMD00549638,PRJDB14565,leaf,,control
SAMD00549639,PRJDB14565,leaf,,control
SAMD00549640,PRJDB14565,leaf,,control
SAMD00549641,PRJDB14565,leaf,,control
SAMD00549642,PRJDB14565,leaf,,control
SAMD00549643,PRJDB14565,leaf,transgenic,control
SAMD00549644,PRJDB14565,leaf,transgenic,control
SAMD00549645,PRJDB14565,leaf,,control
SAMD00549646,PRJDB14565,leaf,transgenic,treatment
SAMD00549647,PRJDB14565,leaf,transgenic,treatment
SAMD00549648,PRJDB14565,leaf,transgenic,treatment
SAMD00549649,PRJDB14565,leaf,transgenic,treatment
SAMD00549650,PRJDB14565,leaf,transgenic,treatment
SAMD00549651,PRJDB14565,leaf,transgenic,treatment
SAMD00549652,PRJDB14565,leaf,transgenic,treatment
SAMD00549653,PRJDB14565,leaf,transgenic,treatment
SAMD00549654,PRJDB14565,leaf,transgenic,control
SAMD00549655,PRJDB14565,leaf,transgenic,control
SAMD00549656,PRJDB14565,leaf,transgenic,control
SAMD00549657,PRJDB14565,root,,control
SAMD00549658,PRJDB14565,root,,control
SAMD00549659,PRJDB14565,root,,control
SAMD00549660,PRJDB14565,root,,control
SAMD00549661,PRJDB14565,root,,control
SAMD00549662,PRJDB14565,root,,control
SAMD00549663,PRJDB14565,root,transgenic,control
SAMD00549664,PRJDB14565,root,,control
SAMD00549665,PRJDB14565,root,transgenic,treatment
SAMD00549666,PRJDB14565,root,transgenic,treatment
SAMD00549667,PRJDB14565,root,transgenic,treatment
SAMD00549668,PRJDB14565,root,transgenic,treatment
SAMD00549669,PRJDB14565,root,transgenic,treatment
SAMD00549670,PRJDB14565,root,transgenic,treatment
SAMD00549671,PRJDB14565,root,transgenic,treatment
SAMD00549672,PRJDB14565,root,transgenic,treatment
SAMD00549673,PRJDB14565,root,transgenic,control
SAMD00549674,PRJDB14565,root,transgenic,control
SAMD00549675,PRJDB14565,Root,transgenic,control
SAMD00025071,PRJDB3474,stem,,treatment
SAMD00025072,PRJDB3474,stem,,control
SAMD00025073,PRJDB3474,stem,,treatment
SAMD00025074,PRJDB3474,root,,control
SAMD00025075,PRJDB3474,root,,control
SAMD00025076,PRJDB3474,root,,control
SAMD00027203,PRJDB3582,leaf,,control
SAMD00117541,PRJDB7011,leaf,fungus,control
SAMD00117542,PRJDB7011,leaf,fungus,control
SAMD00117543,PRJDB7011,leaf,fungus,control
SAMD00117544,PRJDB7011,leaf,fungus,treatment
SAMD00117545,PRJDB7011,leaf,fungus,treatment
SAMD00117546,PRJDB7011,leaf,fungus,treatment
SAMD00117547,PRJDB7011,leaf,fungus,control
SAMD00117548,PRJDB7011,leaf,fungus,control
SAMD00117549,PRJDB7011,leaf,fungus,control
SAMD00117550,PRJDB7011,leaf,fungus,treatment
SAMD00117551,PRJDB7011,leaf,fungus,treatment
SAMD00117552,PRJDB7011,leaf,fungus,treatment
SAMD00133783,PRJDB7219,leaf,drought,control
SAMD00133784,PRJDB7219,leaf,drought,treatment
SAMD00133785,PRJDB7219,stem,drought,control
SAMD00133786,PRJDB7219,stem,drought,treatment
SAMD00133787,PRJDB7219,root,drought,control
SAMD00133788,PRJDB7219,root,drought,treatment
SAMD00161792,PRJDB7775,stem,,treatment
SAMD00161793,PRJDB7775,stem,,control
SAMD00161794,PRJDB7775,stem,,treatment
SAMD00161795,PRJDB7775,stem,,control
SAMD00161796,PRJDB7775,stem,,treatment
SAMD00161797,PRJDB7775,stem,,control
SAMD00161798,PRJDB7775,stem,,treatment
SAMD00161799,PRJDB7775,stem,,control
SAMD00182779,PRJDB8682,seed,heat,treatment
SAMD00182780,PRJDB8682,seed,heat,treatment
SAMD00182781,PRJDB8682,seed,heat,treatment
SAMD00182782,PRJDB8682,seed,heat,treatment
SAMD00182783,PRJDB8682,seed,heat,treatment
SAMD00182784,PRJDB8682,seed,heat,treatment
SAMD00182785,PRJDB8682,seed,heat,treatment
SAMD00182786,PRJDB8682,seed,heat,treatment
SAMD00182787,PRJDB8682,seed,heat,treatment
SAMD00182788,PRJDB8682,seed,heat,control
SAMD00182789,PRJDB8682,seed,heat,treatment
SAMD00182790,PRJDB8682,seed,heat,treatment
SAMD00183603,PRJDB8696,shoot,,control
SAMD00183604,PRJDB8696,shoot,,control
SAMD00183605,PRJDB8696,shoot,,control
SAMD00183606,PRJDB8696,whole,,treatment
SAMD00183607,PRJDB8696,shoot,,treatment
SAMD00183608,PRJDB8696,whole,,treatment
SAMD00183609,PRJDB8696,shoot,,treatment
SAMD00183610,PRJDB8696,shoot,,treatment
SAMD00183611,PRJDB8696,shoot,,treatment
SAMD00216748,PRJDB9607,stem,transgenic,control
SAMD00216749,PRJDB9607,stem,transgenic,treatment
SAMD00216750,PRJDB9607,stem,transgenic,treatment
SAMD00216751,PRJDB9607,stem,transgenic,treatment
SAMD00216752,PRJDB9607,stem,transgenic,control
SAMD00216753,PRJDB9607,stem,transgenic,control
SAMD00216754,PRJDB9607,stem,transgenic,control
SAMD00244293,PRJDB9681,root,,treatment
SAMD00244294,PRJDB9681,leaf,,control
SAMD00244295,PRJDB9681,leaf,,treatment
SAMD00244296,PRJDB9681,leaf,,treatment
SAMD00244297,PRJDB9681,leaf,,treatment
SAMD00244298,PRJDB9681,leaf,,treatment
SAMD00244299,PRJDB9681,leaf,,treatment
SAMD00244300,PRJDB9681,leaf,,treatment
SAMD00244301,PRJDB9681,leaf,,treatment
SAMD00244302,PRJDB9681,leaf,,treatment
SAMD00244303,PRJDB9681,leaf,,treatment
SAMD00244304,PRJDB9681,leaf,,treatment
SAMD00244305,PRJDB9681,leaf,,treatment
SAMD00244306,PRJDB9681,leaf,,treatment
SAMD00244307,PRJDB9681,leaf,,treatment
SAMD00244308,PRJDB9681,leaf,,treatment
SAMD00244309,PRJDB9681,leaf,,treatment
SAMD00244310,PRJDB9681,leaf,,treatment
SAMD00244311,PRJDB9681,leaf,,treatment
SAMD00244312,PRJDB9681,leaf,,treatment
SAMD00244313,PRJDB9681,leaf,,treatment
SAMD00244314,PRJDB9681,leaf,,treatment
SAMD00244315,PRJDB9681,leaf,,control
SAMD00244316,PRJDB9681,leaf,,treatment
SAMD00244317,PRJDB9681,leaf,,treatment
SAMD00244318,PRJDB9681,leaf,,treatment
SAMD00244319,PRJDB9681,leaf,,treatment
SAMD00244320,PRJDB9681,leaf,,treatment
SAMD00244321,PRJDB9681,leaf,,treatment
SAMD00244322,PRJDB9681,leaf,,treatment
SAMD00244323,PRJDB9681,leaf,,treatment
SAMD00244324,PRJDB9681,leaf,,treatment
SAMD00244325,PRJDB9681,leaf,,treatment
SAMD00244326,PRJDB9681,leaf,,treatment
SAMD00244327,PRJDB9681,leaf,,treatment
SAMD00244328,PRJDB9681,leaf,,treatment
SAMD00244329,PRJDB9681,leaf,,treatment
SAMD00244330,PRJDB9681,leaf,,treatment
SAMD00244331,PRJDB9681,leaf,,treatment
SAMD00244332,PRJDB9681,leaf,,treatment
SAMD00244333,PRJDB9681,leaf,,treatment
SAMD00244334,PRJDB9681,root,,treatment
SAMD00244335,PRJDB9681,root,,treatment
SAMD00244336,PRJDB9681,root,,treatment
SAMD00244337,PRJDB9681,root,,treatment
SAMD00244338,PRJDB9681,root,,treatment
SAMD00244339,PRJDB9681,root,,treatment
SAMD00244340,PRJDB9681,root,,treatment
SAMD00244341,PRJDB9681,root,,treatment
SAMD00244342,PRJDB9681,root,,treatment
SAMD00244343,PRJDB9681,root,,treatment
SAMD00244344,PRJDB9681,root,,treatment
SAMD00244345,PRJDB9681,root,,treatment
SAMD00244346,PRJDB9681,root,,treatment
SAMD00244347,PRJDB9681,root,,treatment
SAMD00244348,PRJDB9681,root,,treatment
SAMD00244349,PRJDB9681,root,,treatment
SAMD00244350,PRJDB9681,root,,treatment
SAMD00244351,PRJDB9681,root,,treatment
SAMD00244352,PRJDB9681,root,,treatment
SAMD00244353,PRJDB9681,root,,treatment
SAMD00244354,PRJDB9681,root,,treatment
SAMD00244355,PRJDB9681,root,,treatment
SAMD00244356,PRJDB9681,root,,treatment
SAMD00244357,PRJDB9681,root,,treatment
SAMD00244358,PRJDB9681,root,,treatment
SAMD00244359,PRJDB9681,root,,treatment
SAMD00244360,PRJDB9681,root,,treatment
SAMD00244361,PRJDB9681,root,,treatment
SAMD00244362,PRJDB9681,root,,treatment
SAMD00244363,PRJDB9681,root,,treatment
SAMD00244364,PRJDB9681,root,,treatment
SAMD00244365,PRJDB9681,root,,treatment
SAMD00244366,PRJDB9681,root,,treatment
SAMD00244367,PRJDB9681,root,,treatment
SAMD00244368,PRJDB9681,root,,treatment
SAMD00244369,PRJDB9681,root,,treatment
SAMD00244370,PRJDB9681,root,,treatment
SAMD00244371,PRJDB9681,root,,treatment
SAMD00244372,PRJDB9681,root,,treatment
SAMD00222772,PRJDB9752,root,bacteria,control
SAMD00222773,PRJDB9752,root,bacteria,control
SAMD00222774,PRJDB9752,root,bacteria,control
SAMD00222775,PRJDB9752,root,bacteria,treatment
SAMD00222776,PRJDB9752,root,bacteria,treatment
SAMD00222777,PRJDB9752,root,bacteria,treatment
SAMD00222778,PRJDB9752,root,bacteria,treatment
SAMD00222779,PRJDB9752,root,bacteria,treatment
SAMD00222780,PRJDB9752,root,bacteria,treatment
SAMEA4395172,PRJEB15247,root,,treatment
SAMEA4395173,PRJEB15247,root,,treatment
SAMEA4395174,PRJEB15247,root,,treatment
SAMEA4395175,PRJEB15247,root,,treatment
SAMEA4395176,PRJEB15247,root,,treatment
SAMEA4395177,PRJEB15247,root,,treatment
SAMEA4395178,PRJEB15247,root,,treatment
SAMEA4395179,PRJEB15247,root,,treatment
SAMEA4395180,PRJEB15247,root,,treatment
SAMEA4395181,PRJEB15247,root,,treatment
SAMEA4395182,PRJEB15247,root,,treatment
SAMEA4395183,PRJEB15247,root,,treatment
SAMEA104041776,PRJEB20727,root,other,treatment
SAMEA104041777,PRJEB20727,root,other,treatment
SAMEA104041778,PRJEB20727,root,other,treatment
SAMEA104041779,PRJEB20727,root,,control
SAMEA104041780,PRJEB20727,root,,control
SAMEA104041781,PRJEB20727,root,other,control
SAMEA104041782,PRJEB20727,root,other,treatment
SAMEA104041783,PRJEB20727,root,other,treatment
SAMEA104041784,PRJEB20727,root,other,treatment
SAMEA104041785,PRJEB20727,root,,control
SAMEA104041786,PRJEB20727,root,,control
SAMEA104041787,PRJEB20727,root,,control
SAMEA5071870,PRJEB29567,root,transgenic,control
SAMEA5071871,PRJEB29567,root,transgenic,control
SAMEA5071872,PRJEB29567,root,transgenic,control
SAMEA5071873,PRJEB29567,root,bacteria,control
SAMEA5071874,PRJEB29567,root,transgenic,treatment
SAMEA5071875,PRJEB29567,root,bacteria,treatment
SAMEA5071876,PRJEB29567,root,transgenic,treatment
SAMEA5071877,PRJEB29567,root,transgenic,treatment
SAMEA5071878,PRJEB29567,root,transgenic,treatment
SAMEA5071879,PRJEB29567,root,transgenic,treatment
SAMEA5071880,PRJEB29567,root,transgenic,treatment
SAMEA5071881,PRJEB29567,root,transgenic,treatment
SAMEA112885661,PRJEB57693,leaf,,treatment
SAMEA112885662,PRJEB57693,leaf,,treatment
SAMEA112885663,PRJEB57693,leaf,,treatment
SAMEA112885664,PRJEB57693,leaf,,treatment
SAMEA112885665,PRJEB57693,leaf,,treatment
SAMEA112885666,PRJEB57693,leaf,,treatment
SAMEA112885667,PRJEB57693,leaf,,treatment
SAMEA112885668,PRJEB57693,leaf,,treatment
SAMEA112885669,PRJEB57693,leaf,,treatment
SAMEA112885670,PRJEB57693,leaf,,treatment
SAMEA112885671,PRJEB57693,leaf,,treatment
SAMEA112885672,PRJEB57693,leaf,,treatment
SAMEA112156551,PRJEB57802,root,,control
SAMEA112156552,PRJEB57802,root,,control
SAMEA112156553,PRJEB57802,root,,control
SAMEA112156554,PRJEB57802,root,,control
SAMEA112156555,PRJEB57802,root,,control
SAMEA112156556,PRJEB57802,root,,control
SAMN36780220,PRJNA1000775,root,bacteria,treatment
SAMN36780221,PRJNA1000775,root,bacteria,treatment
SAMN36780222,PRJNA1000775,root,bacteria,treatment
SAMN36780223,PRJNA1000775,root,bacteria,treatment
SAMN36780224,PRJNA1000775,root,bacteria,treatment
SAMN36780225,PRJNA1000775,root,bacteria,treatment
SAMN36780226,PRJNA1000775,root,bacteria,treatment
SAMN36780227,PRJNA1000775,root,bacteria,treatment
SAMN36780228,PRJNA1000775,root,bacteria,treatment
SAMN36780229,PRJNA1000775,root,bacteria,treatment
SAMN36780230,PRJNA1000775,root,bacteria,treatment
SAMN36780231,PRJNA1000775,root,bacteria,treatment
SAMN36894336,PRJNA1003551,seed,,control
SAMN36894337,PRJNA1003551,seed,,control
SAMN36894338,PRJNA1003551,seed,,control
SAMN36894339,PRJNA1003551,seed,,control
SAMN36894340,PRJNA1003551,seed,,control
SAMN36894341,PRJNA1003551,seed,,control
SAMN36894342,PRJNA1003551,seed,,control
SAMN36894343,PRJNA1003551,seed,,control
SAMN36894344,PRJNA1003551,seed,,treatment
SAMN36894345,PRJNA1003551,seed,,control
SAMN36894346,PRJNA1003551,seed,,control
SAMN36894347,PRJNA1003551,seed,,control
SAMN36894348,PRJNA1003551,seed,,control
SAMN36894349,PRJNA1003551,seed,,treatment
SAMN36894350,PRJNA1003551,seed,,control
SAMN36894351,PRJNA1003551,seed,,control
SAMN36894352,PRJNA1003551,seed,,treatment
SAMN36894353,PRJNA1003551,seed,,control
SAMN36894354,PRJNA1003551,seed,,control
SAMN36894355,PRJNA1003551,seed,,control
SAMN36894356,PRJNA1003551,seed,,control
SAMN36894357,PRJNA1003551,seed,,control
SAMN36894358,PRJNA1003551,seed,,control
SAMN36894359,PRJNA1003551,seed,,control
SAMN36894360,PRJNA1003551,seed,,control
SAMN36894361,PRJNA1003551,seed,,control
SAMN36894362,PRJNA1003551,seed,,control
SAMN36894363,PRJNA1003551,seed,,control
SAMN36894364,PRJNA1003551,seed,,control
SAMN36894365,PRJNA1003551,seed,,control
SAMN36894366,PRJNA1003551,seed,,control
SAMN36894367,PRJNA1003551,seed,,control
SAMN36894368,PRJNA1003551,seed,,control
SAMN36894369,PRJNA1003551,seed,,control
SAMN36894370,PRJNA1003551,seed,,control
SAMN37004683,PRJNA1006160,shoot,fungus,treatment
SAMN37004684,PRJNA1006160,shoot,fungus,treatment
SAMN37004685,PRJNA1006160,shoot,fungus,control
SAMN37004686,PRJNA1006160,shoot,fungus,control
SAMN37004687,PRJNA1006160,shoot,fungus,treatment
SAMN37004688,PRJNA1006160,shoot,fungus,treatment
SAMN37004689,PRJNA1006160,shoot,fungus,control
SAMN37004690,PRJNA1006160,shoot,fungus,control
SAMN37004691,PRJNA1006160,shoot,fungus,treatment
SAMN37004692,PRJNA1006160,shoot,fungus,treatment
SAMN37004693,PRJNA1006160,shoot,fungus,control
SAMN37004694,PRJNA1006160,shoot,fungus,control
SAMN37004695,PRJNA1006160,shoot,fungus,treatment
SAMN37004696,PRJNA1006160,shoot,fungus,treatment
SAMN37004697,PRJNA1006160,shoot,fungus,control
SAMN37004698,PRJNA1006160,shoot,fungus,control
SAMN37004699,PRJNA1006160,shoot,fungus,treatment
SAMN37004700,PRJNA1006160,shoot,fungus,treatment
SAMN37004701,PRJNA1006160,shoot,fungus,control
SAMN37004702,PRJNA1006160,shoot,fungus,control
SAMN37004703,PRJNA1006160,shoot,fungus,treatment
SAMN37004704,PRJNA1006160,shoot,fungus,treatment
SAMN37004705,PRJNA1006160,shoot,fungus,control
SAMN37004706,PRJNA1006160,shoot,fungus,control
SAMN37004707,PRJNA1006160,shoot,fungus,treatment
SAMN37004708,PRJNA1006160,shoot,fungus,treatment
SAMN37004709,PRJNA1006160,shoot,fungus,control
SAMN37004710,PRJNA1006160,shoot,fungus,control
SAMN37004711,PRJNA1006160,shoot,fungus,treatment
SAMN37004712,PRJNA1006160,shoot,fungus,treatment
SAMN37004713,PRJNA1006160,shoot,fungus,control
SAMN37004714,PRJNA1006160,shoot,fungus,control
SAMN37004715,PRJNA1006160,shoot,fungus,treatment
SAMN37004716,PRJNA1006160,shoot,fungus,treatment
SAMN37004717,PRJNA1006160,shoot,fungus,control
SAMN37004718,PRJNA1006160,shoot,fungus,control
SAMN37004719,PRJNA1006160,shoot,fungus,treatment
SAMN37004720,PRJNA1006160,shoot,fungus,treatment
SAMN37004721,PRJNA1006160,shoot,fungus,control
SAMN37004722,PRJNA1006160,shoot,fungus,control
SAMN37004723,PRJNA1006160,shoot,fungus,treatment
SAMN37004724,PRJNA1006160,shoot,fungus,treatment
SAMN37004725,PRJNA1006160,shoot,fungus,control
SAMN37004726,PRJNA1006160,shoot,fungus,control
SAMN37004727,PRJNA1006160,shoot,fungus,treatment
SAMN37004728,PRJNA1006160,shoot,fungus,treatment
SAMN37004729,PRJNA1006160,shoot,,control
SAMN37004730,PRJNA1006160,shoot,fungus,control
SAMN37004731,PRJNA1006160,shoot,fungus,treatment
SAMN37004732,PRJNA1006160,shoot,fungus,treatment
SAMN37004733,PRJNA1006160,shoot,fungus,control
SAMN37004734,PRJNA1006160,shoot,fungus,control
SAMN37004735,PRJNA1006160,shoot,fungus,treatment
SAMN37004736,PRJNA1006160,shoot,fungus,treatment
SAMN37004737,PRJNA1006160,shoot,fungus,control
SAMN37004738,PRJNA1006160,shoot,fungus,control
SAMN37004739,PRJNA1006160,shoot,fungus,treatment
SAMN37004740,PRJNA1006160,shoot,fungus,treatment
SAMN37004741,PRJNA1006160,shoot,fungus,control
SAMN37004742,PRJNA1006160,shoot,fungus,control
SAMN37004743,PRJNA1006160,shoot,fungus,treatment
SAMN37004744,PRJNA1006160,shoot,fungus,treatment
SAMN37004745,PRJNA1006160,shoot,fungus,control
SAMN37004746,PRJNA1006160,shoot,fungus,control
SAMN37223624,PRJNA1011551,root,drought,control
SAMN37223625,PRJNA1011551,root,drought,control
SAMN37223626,PRJNA1011551,root,drought,control
SAMN37223627,PRJNA1011551,root,drought,treatment
SAMN37223628,PRJNA1011551,root,drought,treatment
SAMN37223629,PRJNA1011551,root,drought,treatment
SAMN37223630,PRJNA1011551,root,drought,control
SAMN37223631,PRJNA1011551,root,drought,control
SAMN37223632,PRJNA1011551,root,drought,control
SAMN37223633,PRJNA1011551,root,drought,treatment
SAMN37223634,PRJNA1011551,root,drought,treatment
SAMN37223635,PRJNA1011551,root,drought,treatment
SAMN37224534,PRJNA1011827,leaf,,control
SAMN37224535,PRJNA1011827,leaf,,control
SAMN37224536,PRJNA1011827,leaf,,control
SAMN37224537,PRJNA1011827,leaf,,control
SAMN37224538,PRJNA1011827,leaf,,control
SAMN37224539,PRJNA1011827,leaf,,control
SAMN37224540,PRJNA1011827,leaf,,control
SAMN37224541,PRJNA1011827,leaf,,treatment
SAMN37224542,PRJNA1011827,leaf,,control
SAMN37224543,PRJNA1011827,leaf,,control
SAMN37224544,PRJNA1011827,leaf,,control
SAMN37224545,PRJNA1011827,leaf,,control
SAMN37224546,PRJNA1011827,leaf,,control
SAMN37224547,PRJNA1011827,leaf,,control
SAMN37224548,PRJNA1011827,leaf,,control
SAMN37224549,PRJNA1011827,leaf,,control
SAMN37224550,PRJNA1011827,leaf,,control
SAMN37224551,PRJNA1011827,leaf,,control
SAMN37265076,PRJNA1012584,seed,transgenic,treatment
SAMN37328764,PRJNA1014479,leaf,fungus,treatment
SAMN37328765,PRJNA1014479,root,fungus,treatment
SAMN37328766,PRJNA1014479,stem,fungus,treatment
SAMN37328767,PRJNA1014479,leaf,fungus,control
SAMN37328768,PRJNA1014479,root,fungus,control
SAMN37328769,PRJNA1014479,stem,fungus,control
SAMN37328770,PRJNA1014479,leaf,fungus,treatment
SAMN37328771,PRJNA1014479,root,fungus,treatment
SAMN37328772,PRJNA1014479,stem,fungus,treatment
SAMN37328773,PRJNA1014479,leaf,fungus,control
SAMN37328774,PRJNA1014479,root,virus,control
SAMN37328775,PRJNA1014479,stem,virus,control
SAMN37383317,PRJNA1015685,leaf,fungus,control
SAMN37383414,PRJNA1015685,leaf,fungus,control
SAMN37383415,PRJNA1015685,leaf,fungus,control
SAMN37383423,PRJNA1015685,leaf,fungus,control
SAMN37384251,PRJNA1015685,leaf,fungus,control
SAMN37384290,PRJNA1015685,leaf,fungus,control
SAMN37384300,PRJNA1015685,leaf,fungus,control
SAMN37384307,PRJNA1015685,leaf,fungus,control
SAMN37384310,PRJNA1015685,leaf,fungus,control
SAMN37384317,PRJNA1015685,leaf,fungus,control
SAMN37384354,PRJNA1015685,leaf,fungus,control
SAMN37384607,PRJNA1015685,leaf,fungus,control
SAMN37367292,PRJNA1015745,root,transgenic,treatment
SAMN37367350,PRJNA1015750,root,transgenic,treatment
SAMN37367336,PRJNA1015751,root,transgenic,treatment
SAMN37367262,PRJNA1015752,root,transgenic,treatment
SAMN37367155,PRJNA1015757,root,transgenic,treatment
SAMN37367370,PRJNA1015758,root,transgenic,treatment
SAMN37367268,PRJNA1015759,root,transgenic,treatment
SAMN37367200,PRJNA1015760,root,transgenic,treatment
SAMN37367403,PRJNA1015762,root,transgenic,treatment
SAMN37367402,PRJNA1015763,root,transgenic,treatment
SAMN37367168,PRJNA1015820,root,transgenic,treatment
SAMN37367357,PRJNA1015821,root,transgenic,treatment
SAMN37387601,PRJNA1016048,leaf,,treatment
SAMN37387602,PRJNA1016048,leaf,,treatment
SAMN37387603,PRJNA1016048,leaf,,treatment
SAMN37387604,PRJNA1016048,leaf,,treatment
SAMN37387605,PRJNA1016048,leaf,,treatment
SAMN37387606,PRJNA1016048,leaf,,treatment
SAMN37387607,PRJNA1016048,leaf,,treatment
SAMN37387608,PRJNA1016048,leaf,,treatment
SAMN37387609,PRJNA1016048,leaf,,treatment
SAMN37387610,PRJNA1016048,leaf,,treatment
SAMN37387611,PRJNA1016048,leaf,,treatment
SAMN37387612,PRJNA1016048,leaf,,treatment
SAMN37387613,PRJNA1016048,leaf,,treatment
SAMN37387614,PRJNA1016048,leaf,,treatment
SAMN37387615,PRJNA1016048,leaf,,treatment
SAMN37387616,PRJNA1016048,leaf,,treatment
SAMN37387617,PRJNA1016048,leaf,,treatment
SAMN37387618,PRJNA1016048,leaf,,treatment
SAMN37387619,PRJNA1016048,leaf,,treatment
SAMN37387620,PRJNA1016048,leaf,,treatment
SAMN37387621,PRJNA1016048,leaf,,treatment
SAMN37387622,PRJNA1016048,leaf,,treatment
SAMN37387623,PRJNA1016048,leaf,,treatment
SAMN37387624,PRJNA1016048,leaf,,treatment
