biosample,control,ctrl,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fung,sporus,iron,aluminum,cadmium,cold,temperature,nitrogen,heat
SAMN16089608,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI548533 treated to ten days of iron stress.', 'treatment': 'Soybean cultivar PI548533 treated to ten days of iron stress.'}",{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI548533 treated to ten days of iron stress.', 'treatment': 'Soybean cultivar PI548533 treated to ten days of iron stress.'}",{},{},{},{},{},{}
SAMN21216021,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 548379 grown in non-stress conditions', 'treatment': 'Soybean cultivar PI 548379 grown in non-stress conditions'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359763,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 548533 (G17), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN22841256,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Clark scion on Clark rootstock (Clk/Clk), 30 minutes after transfer, rep 3 root tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359795,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 464877 (G4), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN20475803,{'sample_type_sam_ss_dpl131': 'Control'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN20971796,{},{},{},{},{},"{'source_name_sam': '7 day old hypocotyls inoculated with Phytophthora sojae', 'title': 'Mock-inoculated Williams rep 3 [WM-3b]'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359689,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 438103 (G5), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN09513380,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03473684,{},{},{},{},{},{},{},{},{'treatment_stage_sam': '8 h after aphid infestation'},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359796,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 464877 (G4), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359752,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 068685 (G15), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN10721175,{},{},{},{},{},{},{},{},"{'age_sam': '5 day post aphid infestation', 'age': '5 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN22841331,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on IsoClark rootstock (Iso/Iso), 120 minutes after transfer, rep 1 leaf tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN09489359,"{'growth_protocol_sam_s_dpl216': 'Control', 'title': '12 Hours Rag1 Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN27616106,"{'sample_name': 'Gm_root_control-3', 'primary_search': ""['12_NO_mx', '12_NO_mx_1.fastq.gz', '27616106', '827666', 'Gm_root_control-3', 'PRJNA827666', 'SAMN27616106', 'SRP370756', 'SRR18788740', 'SRS12641564', 'SRX14888095', 'bp0']"", 'title': 'RNA-Seq data of Glycine max root_control-3', 'Sample name': 'Gm_root_control-3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760300,{'title': 'Control soybean flower ovary replicate 2'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359749,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 068685 (G15), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN21359814,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 196150 (G7), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN38355132,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were not inoculated with Rhizobium', 'treatment': 'The plants were not inoculated with Rhizobium'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03797939,"{'treatment_sam_ss_dpl55': 'Control condition', 'title': 'Pana-Control', 'treatment': 'Control condition'}",{},{},"{'phenotype_sam': 'Drought Susceptible', 'phenotype': 'Drought Susceptible'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37004731,{},{},{},{},{},"{'title': 'RNAseq, Colfax, 16 hpi, inoculated3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03406695,{},{'title': '96 hpi CTRL 1'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721153,{},{},{},{},{},{},{},{},"{'age_sam': '30 day post aphid infestation', 'age': '30 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMD00161793,"{'treatment_sam_ss_dpl55': 'control', 'sample_title_sam': 'control_20160916_rep1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359779,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 612611 (G2), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN09513408,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05580198,"{'source_name_sam': 'Line Williams 82_Depodding_Control2', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Depodding_Control2.3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN34546148,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated with Bradyrhizobium diazoefficiens USDA110', 'treatment': 'Inoculated with Bradyrhizobium diazoefficiens USDA110'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03755610,"{'source_name_sam': 'leaves_ZT4_12h_control', 'title': 'ZT4-12h_Control-R1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18877647,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10740390,"{'sample_name': 'Soybean_control_biological_replicate_3', 'library_name': 'Soybean_control_Rep_3_RNA-seq', 'treatment_sam_ss_dpl55': 'Control', 'primary_search': ""['10740390', '515005', 'PRJNA515005', 'SAMN10740390', 'SRP179043', 'SRR8439500', 'SRS4249176', 'SRX5246941', 'Soybean_control_Rep_3_RNA-seq', 'Soybean_control_biological_replicate_3', 'Soybean_control_biological_replicate_3_forward.fastq', 'bp0']"", 'phenotype_sam': 'Soybean_control_Rep3', 'treatment': 'Control', 'phenotype': 'Soybean_control_Rep3', 'Sample name': 'Soybean_control_biological_replicate_3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33196661,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'Low temperature treatment of recipient plants at 6 Celsius', 'isolate': 'Low temperature treatment of recipient plants at 6 Celsius'}",{},{}
SAMN10588598,{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}"
SAMN09721526,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'title': 'CCold treatment 24 hour rep1'},{},{},{}
SAMN12099681,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Mock Inoculated', 'title': 'Soybean root mockinoculated at 2 DPI mRNA', 'treatment': 'Mock Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN12727384,{},{},{},{},{},{'source_name_sam': 'SMV-G7 inoculated leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03014474,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'water_deficit_12hr', 'treatment': 'water_deficit_12hr'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359727,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 089156 (G11), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN35882917,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated with USDA110, treated with DMSO', 'treatment': 'Inoculated with USDA110, treated with DMSO'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630232,{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity (pH 4)', 'title': 'Acidity flowers replicate 3', 'treatment': 'Acidity (pH 4)'}",{},{},{},{},{},{},{},{},{}
SAMN21359767,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 547430 (G18), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN04932645,"{'cultivar_sam': 'Soybean Wild-type control (M92-220)', 'cultivar': 'Soybean Wild-type control (M92-220)'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21216018,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{}
SAMN13520121,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '48 hours after infestation', 'title': 'P203 48HAI infestation rep2', 'treatment': 'infestation', 'Stage': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN21359861,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 068685 (G15), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN11849872,{},{},{'title': 'Clark -Fe stress T1 Roots'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359732,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 086145 (G12), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN35085250,"{'library_name': 'Lee74-Compatible-Control-10dpi-1', 'primary_search': ""['35085250', '972659', 'Lee74-Compatible-Control-10dpi-1', 'NS.1550.001.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.25_R1.fastq.gz', 'PRJNA972659', 'SAMN35085250', 'SRP438222', 'SRR24622471', 'SRS17710563', 'SRX20403195', 'Soybean&SCN']""}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05327853,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': '48 hours after infestation', 'treatment': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN14642771,"{'sample_name': 'C08-Root-control-1', 'library_name': 'C08-Root-control-1', 'primary_search': ""['14642771', '627909', 'C08-Root-control-1', 'FCHJ2MHCCXY_L8_HKRDSOYdfoEAAARAAPEI-202_1.fq.gz', 'PRJNA627909', 'SAMN14642771', 'SRP258819', 'SRR11622359', 'SRS6545506', 'SRX8186500']"", 'title': 'RNAseq of soybean root control replcate 1', 'Sample name': 'C08-Root-control-1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05327842,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': '48 hours after infestation', 'treatment': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN09489365,"{'growth_protocol_sam_s_dpl216': 'Control', 'title': '6 Hours Rag1Rag2 Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN38355135,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were inoculated with Rhizobium', 'treatment': 'The plants were inoculated with Rhizobium'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03755617,"{'source_name_sam': 'leaves_ZT8_16h_control', 'title': 'ZT8-16h_Control-R2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721139,{},{},{},{},{},{},{},{},"{'age_sam': '30 day post aphid infestation', 'age': '30 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN06314287,{},{'title': 'Gene expression profiling of Glycine max William 82 - GmCtrl-2c'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05580213,"{'source_name_sam': 'Line T295H_Sterile_Control3', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Sterile_Control3.2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09489367,"{'growth_protocol_sam_s_dpl216': 'Control', 'title': '12 Hours Rag1Rag2 Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03473683,{},{},{},{},{},{},{},{},{'treatment_stage_sam': '4 h after aphid infestation'},{},{},{},{},{},{},{},{},{},{},{}
SAMN09489353,"{'growth_protocol_sam_s_dpl216': 'Control', 'title': '6 Hours Susceptible Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841299,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Clark scion on IsoClark rootstock (Clk/Iso), 30 minutes after transfer, rep 2 leaf tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN04125385,"{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1'}",{},"{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1'}","{'treatment_sam_ss_dpl55': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1', 'treatment': 'Ambient [CO2] and 0 min of drought stress (control)-Biological replicate 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841322,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'IsoClark scion on IsoClark rootstock (Iso/Iso), 30 minutes after transfer, rep 2 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359854,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 080459 (G14), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN33988719,"{'treatment_sam_ss_dpl55': 'Six months in uncontrolled enviroment', 'treatment': 'Six months in uncontrolled enviroment'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16089609,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI548533 grown in non-stress conditions.', 'treatment': 'Soybean cultivar PI548533 grown in non-stress conditions.'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13520075,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '48 hours after infestation', 'title': 'Dongnong47 48HAI infestation rep2', 'treatment': 'infestation', 'Stage': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN37004746,"{'treatment_sam_ss_dpl55': 'control', 'title': 'RNAseq, Colfax, 2 hpi, control2', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN30722373,"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'RNA of anther and leaf samples of high temperature stress treated and control soybean', 'isolate': 'RNA of anther and leaf samples of high temperature stress treated and control soybean'}",{},{}
SAMN03761650,{},{},"{'treatment_sam_ss_dpl55': 'salt stress', 'treatment': 'salt stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841278,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN30758608,{},{},"{'treatment_sam_ss_dpl55': '7D vermiculite, then non-stress hydroponic conditions', 'treatment': '7D vermiculite, then non-stress hydroponic conditions'}",{},{},{},{},{},{},{},{},{},{},{'ion_stress_sam': 'iron sufficient'},{},{},{},{},{},{}
SAMN21359691,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 438103 (G5), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN09513411,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN11849870,"{'sample_name': 'Clark T1Rec_Control_Leaf', 'primary_search': ""['11849870', '544698', 'C_T1Rec_L_a', 'Clark T1Rec_Control_Leaf', 'ControlRec_L_Eu.sort.bam', 'PRJNA544698', 'SAMN11849870', 'SRP199444', 'SRR9119310', 'SRS4815021', 'SRX5893366', 'bp0']"", 'title': 'Clark Leaf T1Rec Control', 'Sample name': 'Clark T1Rec_Control_Leaf'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
